Saliva_700114048	Saliva_700110591	Saliva_700109387	Saliva_700111509	Saliva_700109868	Saliva_700097361	Saliva_700105973	Saliva_700100417	Saliva_700105621	Saliva_700110816	Saliva_700111578	Saliva_700111443	Saliva_700110225	Saliva_700110159	Saliva_700106858	Saliva_700103654	Saliva_700101519	Saliva_700098870	Saliva_700098433	Saliva_700097841	Saliva_700097004	Saliva_700099129	Saliva_700105419	Saliva_700106000	Saliva_700103564	Saliva_700037075	Saliva_700103606	Saliva_700038229	Saliva_700105724	Saliva_700106648	Saliva_700106600	Saliva_700103431	Saliva_700038011	Saliva_700105835	Saliva_700111030	Saliva_700107193	Saliva_700110423	Saliva_700110705	Saliva_700098205	Saliva_700111815	Saliva_700100169	Saliva_700106339	Saliva_700097485	Saliva_700096165	Saliva_700107997	Saliva_700097574	Saliva_700108786	Saliva_700096271	Saliva_700108288	Saliva_700095778	Saliva_700034842	Saliva_700034236	Saliva_700034085	Saliva_700034626	Saliva_700035161	Saliva_700032929	Saliva_700035301	Saliva_700102417	Saliva_700035518	Saliva_700035579	Saliva_700035377	Saliva_700107044	Saliva_700033808	Saliva_700102962	Saliva_700033367	Saliva_700099807	Saliva_700023643	Saliva_700032226	Saliva_700024594	Saliva_700024546	Saliva_700032072	Saliva_700016972	Saliva_700032144	Saliva_700015861	Saliva_700016460	Stool_700111026	Stool_700111574	Stool_700103672	Stool_700106946	Stool_700109750	Stool_700097357	Stool_700111811	Stool_700110812	Stool_700110155	Stool_700109383	Stool_700109230	Stool_700106809	Stool_700105991	Stool_700105787	Stool_700105049	Stool_700101515	Stool_700098866	Stool_700096865	Stool_700096700	Stool_700096590	Stool_700096568	Stool_700095213	Stool_700108954	Stool_700035369	Stool_700106504	Stool_700106551	Stool_700106754	Stool_700097415	Stool_700108095	Stool_700105613	Stool_700103558	Stool_700106663	Stool_700106615	Stool_700107189	Stool_700105882	Stool_700110353	Stool_700106412	Stool_700110701	Stool_700098201	Stool_700098599	Stool_700111505	Stool_700110587	Stool_700098735	Stool_700106979	Stool_700099442	Stool_700106701	Stool_700109449	Stool_700097481	Stool_700096161	Stool_700096943	Stool_700096511	Stool_700107993	Stool_700096418	Stool_700096104	Stool_700097116	Stool_700096047	Stool_700095956	Stool_700095774	Stool_700095717	Stool_700034838	Stool_700034081	Stool_700034622	Stool_700035157	Stool_700032925	Stool_700035297	Stool_700035785	Stool_700035575	Stool_700033796	Stool_700101290	Stool_700101840	Stool_700107007	Stool_700033363	Stool_700100413	Stool_700032316	Stool_700032222	Stool_700032068	Stool_700015922	Stool_700016960	Stool_700032132	Stool_700015857
Saliva_700114048	0	0.341855961412225	0.306036153071636	0.262268970960002	0.466575943789496	0.222735092834303	0.256936308552897	0.413412178839718	0.254521186560964	0.280489473685502	0.24140924599823	0.234005723896946	0.285569415638452	0.387440836195704	0.367994881929406	0.242098924084405	0.343196936916463	0.318306717648061	0.307095995291991	0.268172901814433	0.192106858714531	0.296238145993179	0.372828267023293	0.270968985237304	0.267009887970281	0.255618863367554	0.170294074712706	0.289731344542329	0.323494470664649	0.254867029326986	0.362217912222063	0.333008116274515	0.264600853309957	0.298947748973589	0.259115029047678	0.43428319380699	0.283463470789605	0.299852908463568	0.324731783241489	0.465063695254739	0.249569997489954	0.408762283398842	0.321750986244892	0.298338166672763	0.188259401828479	0.231669586609473	0.285592145395261	0.237426488656279	0.298225091571341	0.255762561722081	0.2821530214835	0.327666094782328	0.264680466697415	0.212904967577992	0.180514618482679	0.192523238362053	0.482599335748956	0.285814260059516	0.311242294770712	0.259724597959501	0.342459556287163	0.319067317723698	0.269248972511932	0.259873628263912	0.227689080481812	0.302378460916114	0.368363663459748	0.246766920415685	0.384876285286525	0.226885173578613	0.189930597175353	0.210392422272633	0.229638642989607	0.37172333271968	0.317303077860554	0.749406468070649	0.617493774648645	0.556573583231813	0.738546293071506	0.829948139415803	0.618408518925951	0.663430016835499	0.53202502041492	0.551126034433067	0.754900742869345	0.752370032584422	0.605807780901403	0.541621913404407	0.513696165763522	0.531685712432346	0.786185789377414	0.712421375410107	0.811405095183033	0.783170106431432	0.666798420897656	0.662065872348855	0.7141154648155	0.804238463965164	0.754485625771866	0.619107429747603	0.700066846339976	0.561992043726111	0.621429169722843	0.708066871434301	0.523203328772631	0.784646021063172	0.741315681792775	0.784728853886347	0.787672306482363	0.544529475127363	0.637163031620874	0.652634921543728	0.671037000190484	0.663863785471154	0.688035083727172	0.77734035323514	0.74253756077209	0.742551204977011	0.797425469814272	0.640331102591596	0.677649677738555	0.684128885750278	0.666658352021514	0.49448203557355	0.559802959689154	0.592720642646136	0.770610908834888	0.736813289599064	0.747150266309665	0.630994193642983	0.839053196584647	0.583712701678084	0.702835577271153	0.675839135476367	0.773546883952842	0.667206021691543	0.661231897655215	0.744428779454052	0.695701080022812	0.676168937214385	0.514485632414384	0.641682082557087	0.649795076116638	0.615590075385882	0.602468871046559	0.772706085015837	0.744622208357191	0.787771853730209	0.77764387210505	0.498409808969249	0.72486297588969	0.735292906262233	0.713019775331261	0.836339718484927	0.715595111296428
Saliva_700110591	0.341855961412225	0	0.223919772396999	0.385486170887539	0.383786808361	0.226722039072244	0.457639139939906	0.207260206310064	0.246884000022647	0.327161093976814	0.258003994896753	0.369208949260917	0.227948540771294	0.26270640761002	0.478157886729827	0.386423321799974	0.247051228581068	0.19911838935397	0.310115632988874	0.232781882614175	0.267365939504439	0.325838354144947	0.525360830987806	0.369860604833592	0.430144269316372	0.308724548286745	0.380132209625904	0.285605473287752	0.244608178365796	0.440901573840752	0.355657901614666	0.394990239462432	0.385740160421848	0.284335034084065	0.30455542280737	0.234372187717576	0.228811842810545	0.316784676851468	0.237084109262996	0.33178168794335	0.295075779153869	0.441927868165199	0.181493369034077	0.296991314374616	0.26338562338276	0.329671270085663	0.321694857226914	0.326291785751361	0.247364483078154	0.231919523409257	0.243412638436572	0.378769390655891	0.243613814778821	0.348087763458037	0.425582135817164	0.294521084714422	0.398750037521133	0.267570561968883	0.279634912878602	0.222678691725571	0.194815900699347	0.311549504601129	0.261271977151846	0.211716233791438	0.31574694089669	0.464347507258054	0.461305067552541	0.393045767847756	0.436825824549114	0.356754323007462	0.327083602842151	0.3169547836121	0.298402452144165	0.188837555200116	0.426967252968826	0.602254317871657	0.477811535721938	0.435818880548899	0.586944067106164	0.666530464286835	0.469811897168944	0.518747009180891	0.472276240060842	0.403201036361546	0.60627760717751	0.612499786577986	0.471029587063835	0.438528288889216	0.550025308755721	0.469001316244385	0.630757893656718	0.567989615549608	0.641536279443831	0.620564305773519	0.523784076612379	0.527180959889321	0.570402672211989	0.640114296618603	0.601123501625621	0.473920733188969	0.568602323481312	0.490345657822055	0.476261661505905	0.557080321391239	0.52441849381691	0.657473784019741	0.619280488105138	0.623118560720315	0.62676120113929	0.437277517748369	0.49580377263704	0.525108789992072	0.537357805890564	0.531838190335039	0.543103471473896	0.627144894710418	0.598471920877644	0.607366010975693	0.645436473936332	0.496390195174825	0.548033873844942	0.533220429785475	0.522070874362743	0.539696104676313	0.415599770033189	0.457907218495466	0.640710780631718	0.5794856307035	0.591460472300286	0.488323429090754	0.670347987478283	0.459120314538637	0.557964593036966	0.532644816045779	0.616542865869642	0.53703207070839	0.520729339107435	0.595127864619629	0.544990982316009	0.539439539689973	0.45664767931341	0.486079735656842	0.509553486768772	0.476369821654278	0.462859894691658	0.615791260778	0.599267360762529	0.624148949305462	0.629142890368517	0.540811106725796	0.578342965764409	0.575976755450746	0.551779349304713	0.668258340824931	0.559425322907476
Saliva_700109387	0.306036153071636	0.223919772396999	0	0.32023286377776	0.495188455427278	0.198020007529152	0.392727791436482	0.316876611361365	0.291805023807306	0.210464149144943	0.216189653668277	0.301037895184414	0.252794864815855	0.376514639229333	0.398654288813555	0.392829128607943	0.232520305479565	0.213449506506141	0.236622473036097	0.236104527735874	0.243440305263342	0.346093535523272	0.471589553051457	0.320935982156503	0.405692361828472	0.294186822154111	0.344225451981949	0.312606270761657	0.280312581322312	0.42011964936562	0.416959149948502	0.328035335841319	0.326113251685586	0.16903998836034	0.30668346175527	0.359535354306109	0.22303169072806	0.222158378086738	0.202574336506939	0.468688202739409	0.272561195419299	0.371042372382927	0.260013633970709	0.271568614542759	0.205444754082509	0.225119629464745	0.292636799182786	0.302474784107868	0.160851391899222	0.188982966119573	0.229607431947194	0.318547490420148	0.259067873515576	0.294054606483133	0.402856152708414	0.24786326861051	0.518445400366539	0.178494552642464	0.234458356127022	0.219244111431794	0.258083839689694	0.273116285752727	0.284397872031909	0.219318919806388	0.275437859357477	0.400628065517025	0.383231803807588	0.340107215376271	0.373700867815973	0.321459129292407	0.320793658623377	0.316685061404383	0.296470250366556	0.307406495579245	0.277766604396517	0.697843238084309	0.568630442633891	0.5084360002837	0.67852639375447	0.76224060427948	0.573250501421989	0.627515491099017	0.502571332551361	0.485892289909616	0.700689143748351	0.701967418245985	0.558591258875242	0.513362081249655	0.502883174776587	0.501968717697049	0.726446972788062	0.668923574860705	0.739343091421863	0.718786012789585	0.618099129744305	0.615361970993211	0.663008304862544	0.739179485170994	0.695326975486783	0.564161546757612	0.650900350574691	0.5192282297471	0.570563309088691	0.649766154217822	0.504070235880523	0.752824651485425	0.718122735754679	0.715567054479154	0.725378607692016	0.502832923201822	0.590107021784251	0.628565596590122	0.625333977808265	0.61918119426424	0.636760801976409	0.716997717878827	0.685431523413912	0.692422442210709	0.737803014828224	0.589548881278137	0.6626816068754	0.636664350366237	0.610947574066361	0.491738556239723	0.510871760120235	0.543572147501648	0.740498046563164	0.675693376429142	0.686777913870827	0.580351552921187	0.768030300203577	0.532336331489688	0.650761378992031	0.62412328262214	0.706597690742694	0.638071250243617	0.610536300108657	0.688517375501641	0.635411666598375	0.638152696173595	0.477264579192782	0.580854185148867	0.600891631911422	0.575079996014697	0.552844669970549	0.709952918125716	0.69231929709947	0.720332910442916	0.718334882257508	0.501262356701109	0.670005750859193	0.669061505616139	0.647527031673995	0.765647285565143	0.652839638137438
Saliva_700111509	0.262268970960002	0.385486170887539	0.32023286377776	0	0.580781888095886	0.284391717911743	0.274805298090817	0.471129452627588	0.36987876041613	0.26409962241165	0.329828014304412	0.28352783475439	0.366976308459003	0.465705391135673	0.351648541698699	0.406609534252594	0.362025451808081	0.318476901472161	0.281611224938789	0.343018495379674	0.282005289290299	0.431366842376467	0.266802761713474	0.314432918361729	0.301946195377947	0.349589460126123	0.215733393651681	0.394583604756848	0.415870376470578	0.254206459646008	0.505018157075767	0.313449145204152	0.317358051436432	0.308544542385777	0.367670369678645	0.495084851011881	0.336912957345182	0.285744644901252	0.325694668513091	0.546641695987065	0.304348911666881	0.401666198930844	0.396020356365103	0.313623028975877	0.264003983695443	0.195892703091064	0.311603165877009	0.323866441353461	0.326389361398884	0.302698005075616	0.312826871434266	0.323659015041646	0.362856338725289	0.266710400236624	0.258501547195854	0.259460866909822	0.605569329980084	0.277427002888474	0.312584716904852	0.323034712066648	0.363091621599407	0.310585348223081	0.319461014209388	0.308063611903699	0.297921438569012	0.232625682226025	0.382964324133831	0.290695677096178	0.389389377334181	0.325566299027102	0.345928004165299	0.340623114372025	0.350491897160539	0.441736091959037	0.27747576923688	0.786927253433502	0.63486229154642	0.56942927670736	0.770371052853142	0.869545260026439	0.658256678056612	0.702457043734434	0.524077979269556	0.584743472872603	0.791288307906188	0.784627773045125	0.618353313666423	0.583991570620873	0.487398051580421	0.542534444354613	0.825283004650241	0.749761690434054	0.851234204982507	0.827413947736428	0.686000161429181	0.675634429124969	0.741049296013351	0.842526697549596	0.791188098308116	0.645233522867899	0.719500352071537	0.561658969707335	0.637595902804654	0.742568801435357	0.492682345395676	0.844498465313575	0.805119892016095	0.821808231745782	0.826237938388884	0.545402901725378	0.653129355016973	0.704696119363333	0.678610149512642	0.675382954790191	0.720915718474201	0.815578867934439	0.769360189870846	0.773922337478898	0.834833214977926	0.670424586376785	0.747145348889305	0.734513788825985	0.681922372869742	0.456335562003748	0.54355001392068	0.59733817805526	0.832753832580412	0.770445850080742	0.784003368978547	0.644825769394841	0.877996634045127	0.572530871418315	0.732468429430567	0.70628187552373	0.808073989880509	0.73530973531511	0.666240470468138	0.783118460706887	0.737863715382363	0.717147901110087	0.520178107308458	0.658686877844869	0.653679695315189	0.653203549695889	0.643656506674517	0.811351470525209	0.775476305203675	0.827586465208818	0.812469310913187	0.467613999030952	0.760013517121331	0.77671542363463	0.763068975135018	0.875311985290561	0.756748479677149
Saliva_700109868	0.466575943789496	0.383786808361	0.495188455427278	0.580781888095886	0	0.397301030518763	0.55178834951183	0.374738351585779	0.366459844328556	0.584733951685272	0.373418793673405	0.478192377098465	0.347612662174331	0.28178793594001	0.665228215284573	0.407456251683424	0.465375374649729	0.449446142542354	0.54756323895734	0.38128545865192	0.434219114791707	0.285393004846574	0.634420854327167	0.545512927036399	0.487979453966167	0.44850724528849	0.528163702037742	0.414242064113598	0.37224034597924	0.528228629583298	0.259832358934865	0.584851043533487	0.537197659141244	0.526899008651018	0.352709731608629	0.36366020144788	0.432943873240429	0.54462039549274	0.48375910936011	0.250314954019204	0.405436401207648	0.664835909493958	0.312833786684467	0.503200886867888	0.436825684656881	0.546186224892805	0.479650946457068	0.444948451103541	0.490145727548544	0.477327506728736	0.437173098471649	0.567774159529135	0.35172169156847	0.475509022660303	0.467764460603211	0.487178465423445	0.191109439875316	0.533298385655427	0.486730317818966	0.416289541620746	0.4130557689936	0.493562315838085	0.417257025153614	0.408078551316628	0.485824158776167	0.598054791192527	0.628520912886281	0.504210898945148	0.616793567354119	0.435426912818027	0.402000131911756	0.411798196577783	0.351606020844414	0.343154825481581	0.642319176423714	0.582415966998763	0.483643990712123	0.492778331223047	0.578449848599597	0.637992494326382	0.489147495860404	0.503501294058584	0.492019972499249	0.491808195748756	0.587476812115608	0.596732623516223	0.485909055200997	0.401971565951549	0.583194762519408	0.486522070893758	0.607229023111781	0.552157033513899	0.617639475639594	0.595246579219119	0.51962686456562	0.559306041633275	0.561197727147794	0.612915485319746	0.586068353986658	0.501280851472112	0.600261821190768	0.529625669528036	0.479826627768628	0.554281830255932	0.555917055197776	0.517113356855675	0.478469308287977	0.608132505977859	0.60204987440403	0.458312603533232	0.495642305941755	0.464932768764888	0.536713611496566	0.533049946253038	0.543721904072825	0.61594096134303	0.589484931886395	0.603239243090208	0.620699888580975	0.521069787368474	0.473644100163399	0.462116128288739	0.523934390207244	0.576912249127456	0.44218193051695	0.489169416426847	0.493342795303574	0.564761368442694	0.573516587916505	0.498399103226627	0.641327051664521	0.483645838564628	0.551906510835579	0.527164490533953	0.585136633358299	0.451887412167058	0.521532408016241	0.581435294436991	0.564588268461236	0.562928451208961	0.519712937120864	0.489256209003509	0.514849720867117	0.481604548443898	0.513215530623577	0.595493029750898	0.58403366670853	0.600989212713873	0.610283399378302	0.565369626034493	0.573221743320104	0.575171381362897	0.552811816615839	0.638967088437664	0.562232895011748
Saliva_700097361	0.222735092834303	0.226722039072244	0.198020007529152	0.284391717911743	0.397301030518763	0	0.33062095485595	0.290311114251897	0.191583649667389	0.286952179067987	0.196652120787329	0.225562256719161	0.154858823185964	0.297054825041377	0.440446854035442	0.273671671218631	0.246343951875761	0.204993230414266	0.244764781055312	0.155484825239671	0.163842688628105	0.21344488960827	0.403150259959885	0.273888558024968	0.305423809004274	0.213764025082208	0.265124254549666	0.190606069744379	0.23705738977104	0.342066896964147	0.294646731067007	0.334828947556904	0.333759281528358	0.253498140933178	0.184670421594037	0.313874600230877	0.176617613620871	0.25822328125438	0.184926669081001	0.378875390928039	0.159712416755552	0.378239804611512	0.198306946346544	0.222347416827173	0.184894595255455	0.243882657048289	0.218807991366996	0.185889526073644	0.202374105944581	0.178821248145675	0.183423722280516	0.304718488269318	0.184415032370531	0.220790408341094	0.295436457193037	0.17582059234831	0.428756734859319	0.205305499913078	0.201070275128558	0.153188648121508	0.240549770963873	0.263387866047072	0.206072802849878	0.17898744244231	0.19071459342707	0.353810561957535	0.422752218513455	0.247612647920348	0.421468270686407	0.229946374845492	0.178844187112279	0.18868037806341	0.171054804488815	0.241011200856431	0.3688441241382	0.676853100409145	0.549751212775744	0.49668157933342	0.666826495272388	0.754189840267773	0.540338225710157	0.590863241274505	0.491751108470349	0.491963078731998	0.682120481469282	0.683316106232874	0.541835491134981	0.475330782793502	0.495031704590012	0.489865398697469	0.710336446787117	0.643059427258874	0.732183031803704	0.70323319032995	0.59759994983805	0.596584835685738	0.643146961397659	0.727399935806484	0.680834116327736	0.548475921609023	0.640792890671801	0.520721668698375	0.550299440609708	0.633538198668815	0.49349044922389	0.71681185721578	0.677079500969865	0.708558375692712	0.710473686228385	0.486160012277345	0.569535305498559	0.580601981364433	0.606995968904261	0.601379391476226	0.618615884835574	0.704328106241925	0.674997436401251	0.676777946643973	0.722434834442964	0.571298423868966	0.606848955322776	0.607914377403773	0.591284922314908	0.477703840309697	0.488802420296502	0.52754999682167	0.700093119277496	0.661611022869604	0.672727127613041	0.561632986462389	0.760184454372243	0.519667046439746	0.632322422771285	0.604712670199237	0.68660708412273	0.596605152867016	0.591874546217835	0.672242037954115	0.623165420887934	0.609364687313368	0.47563565270382	0.566487472991317	0.581451462129202	0.545154048109122	0.542200999507942	0.695730691034562	0.672714829750061	0.709472295209594	0.707036728514205	0.47635039877258	0.653940136365586	0.659486898958899	0.631007562011009	0.757824878325476	0.640274117981336
Saliva_700105973	0.256936308552897	0.457639139939906	0.392727791436482	0.274805298090817	0.55178834951183	0.33062095485595	0	0.460963606307266	0.366573544865858	0.334945131889398	0.3833568387507	0.231093171222368	0.361001197000407	0.511313441162008	0.381750453794354	0.37886401050389	0.315939641439557	0.412088137103256	0.298916768065323	0.361037184229606	0.272143097189767	0.378637571894771	0.309244349486398	0.312135738542314	0.197711644839315	0.398689569152096	0.26563307367378	0.423939630505653	0.439587026761303	0.36035579312772	0.486890020449114	0.39905399123139	0.399734605443113	0.375747497395782	0.32137804511478	0.501673591405613	0.327490618795317	0.287816117965365	0.382893622874142	0.571371210540876	0.320967324949534	0.335224149899346	0.44470228286684	0.292988600699916	0.315317821763779	0.259984661102497	0.387998131417264	0.319029536552341	0.328050126166377	0.333415354352355	0.385044766050739	0.27365646179811	0.357819864912769	0.211948456795625	0.278475071889154	0.272153938691511	0.58192041968598	0.34249964533899	0.326831533703458	0.392626826290251	0.424149362428635	0.407351456387342	0.407645497202203	0.3764431906269	0.337305680896628	0.235932557185384	0.444765624610856	0.181900505264107	0.473915446427365	0.316313058993503	0.349610988594299	0.326245762368776	0.326537180047072	0.452681804794575	0.266635235866659	0.808102310630861	0.668306726332675	0.614023892799825	0.795975491514306	0.897576204080833	0.669493495069808	0.720082507351928	0.576694138189705	0.611556063240059	0.814647361557804	0.809696445962045	0.652616356823604	0.637757764010981	0.549688019542804	0.581510645825217	0.850136431728292	0.77262202772572	0.879373852183204	0.854731767794969	0.71927229310715	0.710150794806803	0.768517828991596	0.867820921536477	0.81343873801443	0.680900739024696	0.74809585421415	0.605073064772759	0.671748323424962	0.764509122418151	0.565703036417376	0.877243504627776	0.836437862824802	0.846635680005458	0.850473329659834	0.594682433077807	0.687204129384991	0.747188730314319	0.717637986389006	0.714323505060686	0.746450776615167	0.841750148209637	0.797347763758236	0.79924246207371	0.858957088280482	0.701207557565796	0.778000100034956	0.765513162866944	0.720174566833216	0.544486782862824	0.602612527943551	0.643253345630698	0.866052311752676	0.797298361688643	0.807549417212064	0.679595985547524	0.906836787816254	0.632940051448808	0.762129587793547	0.73324781725225	0.831632068102472	0.775654661119462	0.713806218637726	0.805059760526118	0.767877071335056	0.737200585408721	0.577587395404004	0.694039485598905	0.69555853134953	0.69737108979592	0.669646654155509	0.834990943745211	0.801384473576468	0.852697208752756	0.835353417099029	0.539327392078724	0.788564652394021	0.804876989089257	0.797734136621989	0.904101424632797	0.779324200711823
Saliva_700100417	0.413412178839718	0.207260206310064	0.316876611361365	0.471129452627588	0.374738351585779	0.290311114251897	0.460963606307266	0	0.284814858054398	0.444976394020895	0.333133282546165	0.398435502631801	0.246685035770398	0.251764959785885	0.569838336496041	0.4161194532806	0.25611353658621	0.290830652593943	0.373202143439167	0.230785575712226	0.335628950046335	0.331291496269936	0.604035267690361	0.435711750034552	0.502956885358466	0.379525159473869	0.451708384767593	0.333533182700345	0.277083900289456	0.482822981892116	0.341894694130068	0.44655395100727	0.483240863459816	0.395171121512279	0.302772477013556	0.183466293379477	0.242857761424718	0.366337730675848	0.276709556538896	0.280124884115599	0.366281574822787	0.454535985466916	0.207906544303514	0.308198029273836	0.388443866588637	0.441404541711554	0.4182890069999	0.360541179129811	0.297462925075539	0.295728368853009	0.277548755366408	0.382191064522368	0.257237877801083	0.370138345776341	0.479680926969936	0.333759830201289	0.318168390675029	0.342757137364411	0.33242861274697	0.29374859919383	0.239592909269966	0.368430789572509	0.308174187000715	0.253947808953312	0.381456701555642	0.489610511864088	0.541723898037413	0.384973792099801	0.531167961768126	0.40604262243812	0.365773543748799	0.360222056733104	0.344609420923809	0.120602460703831	0.464780072271537	0.554433999590228	0.446860915546792	0.433195708071777	0.541182662929156	0.617305146417503	0.425951020097728	0.480114795794718	0.492682146780012	0.387272223057815	0.559103717471444	0.566999186062712	0.449665423877859	0.420345431755526	0.582482252186381	0.489134157533551	0.583219217937907	0.520449304826071	0.591618489990295	0.57139191408811	0.475703973694061	0.487400390982586	0.523425161176013	0.590680853587177	0.553274168647046	0.437096284608014	0.538934306910329	0.525298889272695	0.440100131370428	0.509154210142938	0.553811895301822	0.592531519872951	0.553626412027653	0.576244184218926	0.578898558456415	0.43979969647644	0.449065847294869	0.455021971322103	0.493121256395222	0.487725481508902	0.498069493969079	0.584892856646586	0.553976116394606	0.566891765420285	0.599126253068314	0.457443062794815	0.47787853528336	0.466273101285828	0.476408863218123	0.574812886792485	0.4075873398897	0.439329112317835	0.572884200882313	0.53082577128732	0.543797972674912	0.444133062155613	0.6201755686374	0.446888331083657	0.511405345338027	0.485749413585785	0.56701285577244	0.477191121320206	0.474242468821013	0.548241383539102	0.509811386341597	0.508649099886989	0.493513225004788	0.444940331759385	0.465089261712582	0.430329285660452	0.43328645729583	0.569285313493778	0.552713418643295	0.574894123091111	0.583594703202285	0.570697338186307	0.532595647610169	0.534017483669943	0.508739063401378	0.618076645031987	0.515018869000335
Saliva_700105621	0.254521186560964	0.246884000022647	0.291805023807306	0.36987876041613	0.366459844328556	0.191583649667389	0.366573544865858	0.284814858054398	0	0.36229435162068	0.226629850069242	0.306918148004671	0.202016387621162	0.27372405795821	0.484493975769822	0.23900840124945	0.276334295525143	0.260316184550271	0.358961903741481	0.156708817234744	0.229280508549689	0.24010277940687	0.436119876100512	0.354915334011009	0.32169121863072	0.273663756870746	0.311896051796763	0.237172496689032	0.254746817476042	0.346124062473709	0.270539542338914	0.308335291396584	0.352112375411683	0.32769649653347	0.213946501243998	0.29479310935952	0.245649093809542	0.349228603683425	0.257665437448265	0.326958965811923	0.239284847688485	0.487436379594584	0.235119094494804	0.317570374770556	0.253224729852383	0.339264730129284	0.277560294409878	0.269859451754412	0.311432530399749	0.289757284940798	0.181088967038627	0.398160443162009	0.162360664436911	0.283533385284854	0.308427610546793	0.242392115963968	0.39042953217624	0.259410008257635	0.25815131853305	0.157287429484833	0.247110408518262	0.259016293591274	0.154500608541679	0.189499334272886	0.289741414232221	0.401810457491895	0.46702758841574	0.325248277200596	0.415843507883723	0.292298101964376	0.228210890808725	0.183354304862973	0.187380446233765	0.229703550542389	0.446796690209141	0.656041262599579	0.533688986860872	0.490989195427313	0.644243435208404	0.726463660237377	0.518683130295178	0.57094705297946	0.465142480973518	0.505555711385245	0.659870020951098	0.664377743191679	0.526108117410081	0.443405350643033	0.510150414245985	0.463896511361486	0.685648481801487	0.621311133771736	0.704313341678903	0.677223479040738	0.578899241567124	0.579464361294013	0.625262122220439	0.70082223947997	0.657342338512941	0.537660413882803	0.623027412620808	0.499444475420682	0.534080776090117	0.612609521962795	0.482949535863462	0.683638433881191	0.644009054657114	0.683612637378263	0.684558984585716	0.471660215834358	0.550377913842651	0.55304355356328	0.588707267628761	0.582722832969375	0.60060057140891	0.680852861951916	0.65309467404431	0.657602627883099	0.697974189767656	0.562547767810699	0.573911846519095	0.580787872436717	0.578360336738945	0.500791301798564	0.4754513565849	0.515775615327268	0.667319282859959	0.638097457561149	0.649276447839892	0.545310081831285	0.731832976520058	0.506028795168198	0.612888744932634	0.586019668085789	0.674150519148792	0.574160557117916	0.576070486706933	0.649393743881804	0.609834913605509	0.590343823881483	0.460487610976668	0.547047855152294	0.564442590134875	0.529305867301137	0.537847310792666	0.671566424985182	0.653848665471125	0.683178342633506	0.684294805844138	0.497112119627202	0.631309564453887	0.638706140437639	0.616416259671027	0.729557414746176	0.618399042303731
Saliva_700110816	0.280489473685502	0.327161093976814	0.210464149144943	0.26409962241165	0.584733951685272	0.286952179067987	0.334945131889398	0.444976394020895	0.36229435162068	0	0.299313544161356	0.304439782223562	0.355771904751209	0.46645787263957	0.350368496821514	0.411716488372498	0.337996767943189	0.301359603242501	0.217395301940543	0.328630908450102	0.254647646466336	0.424127446341917	0.365528097573694	0.323769776408769	0.299247441788058	0.324191905372046	0.281455477947043	0.38429391586863	0.382636645537053	0.384640571270036	0.484224154763412	0.326294371589798	0.26405218980926	0.22619533921889	0.368742539619734	0.482857695838172	0.313254172293167	0.23261757607736	0.28121882561969	0.542720611980702	0.316172432388879	0.353918982559129	0.361125687172704	0.290889195978052	0.206071077298995	0.166609677235716	0.314276545137116	0.333144222175184	0.251381188120036	0.247367268915984	0.30673526505829	0.30837437378044	0.362568961229672	0.26786353868531	0.340131449066422	0.262290187106957	0.604560523891834	0.217238114357325	0.28197425717534	0.30446639865869	0.367095530630399	0.342823635759976	0.33900533857434	0.296666843329703	0.290373762707877	0.335244493100788	0.35015217943616	0.30563530561649	0.333009717792084	0.330433557205454	0.347607219405105	0.326559849915852	0.361812564261282	0.416527982229818	0.227576045000613	0.791763388922687	0.664442007988184	0.605198625328608	0.773163094724362	0.857076726379333	0.666025963737289	0.722706052856739	0.573771908354931	0.585178851529522	0.795776779048852	0.794843382234824	0.654369617418239	0.599415446525337	0.549051257244186	0.573408806202754	0.823055491941109	0.761595713230763	0.839225317969114	0.820211237134974	0.714506640442166	0.706111546722626	0.760133722663557	0.832013947487549	0.791057827071753	0.66363641514583	0.736328016462127	0.597746483952153	0.669017527358281	0.746642363654689	0.56716228364031	0.831330417580871	0.795408325774766	0.810432758284157	0.818483123747372	0.595892383582108	0.686662832727308	0.717009839752988	0.715951777134506	0.712370895581012	0.736818212044339	0.811304166920151	0.7758090574892	0.781505488947328	0.830447005005129	0.692006692743976	0.747793686524876	0.732831314117147	0.708127337907525	0.534029577110696	0.611401085568381	0.64161043743317	0.822158104357705	0.774031045809682	0.783784901270977	0.680171600961625	0.86554783277342	0.630118202880115	0.749667480383469	0.721529958642064	0.80006073056697	0.726093216857097	0.709541386577224	0.78452931906235	0.733017578587254	0.728609131453193	0.5478882916112	0.679843862786491	0.695892191008614	0.670389433872166	0.652493344849843	0.805046336445975	0.78790581511174	0.818441553886783	0.809874685900925	0.54377395997509	0.762124062084159	0.769331062875053	0.753603350299579	0.863034016412626	0.751825414203899
