rab.all	rab.win.Healthy.NASH	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acetanaerobacterium	-6.20175842755145	-6.59676753917948	-5.9745661557468	0.461059180360501	4.76929142274814	-9.38141380140094	11.4769245132202	0.767557772545613	13.8146722651111	0.0797463164549322	-3.41534756604865	4.3596124075221	0.473958339892094	0.565833019733498	0.817395188421234	0.591167873578207	0.833192022513981
Acidaminococcus	-0.741218544493431	-1.05100837925685	-0.128728858025382	1.02800726317225	2.92246024704636	-3.40809103394279	7.26902879891764	0.380638204283705	6.60896690591685	0.321285385805126	-2.20658841565109	6.10913784325149	0.345486154018418	0.129860573469764	0.617637337043496	0.252766016872606	0.687619717316135
Actinomyces	-0.216794841632221	-0.179093606950502	-0.263382256763832	-0.11970709680442	1.15956546664205	-2.45865036791572	1.89900011208434	0.213052713461866	3.12834373749173	-0.0928452276053983	-4.3810818612771	3.2230395042182	0.45833334387207	0.593657020971917	0.833561273184338	0.713283573128648	0.891188326782154
Adlercreutzia	0.663088605191502	0.194948307948408	0.799605944186819	0.640970869107308	2.07867402908544	-2.78134121629999	4.2676132473564	0.361048360003029	4.11767574005811	0.314056802853681	-2.5383268046206	4.29920895100817	0.373263922907214	0.297499437768916	0.713751374703414	0.25905429830425	0.695804239069918
Akkermansia	3.64712523257964	2.76588410607132	3.78230256713178	0.152340654362217	3.64761407843195	-5.49353785496157	5.51951796139685	0.360945187517654	6.7200419515714	0.0431969901898758	-3.57012750200438	3.16439868325089	0.482638893254799	0.82423544305891	0.92893810389786	0.909936556599444	0.966307106092048
Alistipes	3.28429984512054	4.07850281607087	2.28342959479195	-1.00285103712023	1.81269576107283	-3.40354485694557	1.80451067529392	0.226764196430959	3.34793751941077	-0.60755220755965	-7.52772981840564	2.11729206681283	0.24131953316521	0.0341515824502015	0.381546073407061	0.0444503539759725	0.466854980648526
Allisonella	-2.3826024136001	-2.60107382899479	-2.10504638023382	0.131148549410469	4.09245633018383	-7.63124094694184	5.98128859377126	0.542473431023212	10.217970188086	0.0345244582142918	-3.75198715278426	3.81213493053769	0.480902782581496	0.832448838326105	0.928556883378537	0.821338154128018	0.93581988005464
Alloprevotella	-0.268770791562796	-0.177119980947963	-0.346312005967239	-0.356057769658828	2.24729800220132	-4.84126163163169	6.18699475198108	0.416838019642946	7.57155920590408	-0.128488168405379	-4.74290203331632	3.77693531758637	0.438474885654038	0.769263711908341	0.905007615340005	0.673819855426828	0.881391700564896
Anaeroglobus	-6.88005467862694	-7.02906968161265	-6.79024027173616	0.282185657941621	3.93104253509569	-8.27691070842509	8.9497105427284	0.597772326760993	14.1370208371297	0.0607889166099545	-3.51631711725952	4.84868200480306	0.470486118550129	0.539650296903709	0.804632381225692	0.598588345618828	0.835670085394665
Anaerostipes	5.92828840517739	6.06324132143081	5.0944161276831	-0.963789619859917	1.35109972186368	-3.21889150299686	1.38196312203968	0.136518383943974	3.06530765318048	-0.65677885951488	-8.38730092744043	1.78288672614067	0.28422883586523	0.0193587083442931	0.33718113983647	0.0724928351079614	0.53512112795397
Anaerotruncus	0.724356165074985	0.9380347580931	0.430020034130494	-0.476487084967697	1.34242124786148	-2.76309184281383	2.38529579841983	0.206474146539687	3.07617058754054	-0.345026323218724	-4.88167344742362	2.99418959152379	0.365684611624304	0.333696754513462	0.729578485480972	0.323728706088088	0.726639197776189
Anaerovorax	-0.352640231796387	0.0920391347026746	-0.786865697366212	-0.483313340824983	2.12355580775649	-4.32353571224521	3.44748455829391	0.345037311371432	4.85083112722949	-0.202541465289788	-4.74954979977871	3.03319384580138	0.38715280764326	0.366184927137764	0.746468434611511	0.343580497650485	0.736374002435964
Atopobium	-1.19358964193829	-2.63850631705799	-0.713154330018083	0.892627237285091	4.28425364715894	-8.58181456887214	8.04929568442762	0.727986323541159	12.4479478028082	0.189326665516294	-3.86816731164774	3.76512079803578	0.401041692535661	0.532056239075219	0.812994691832632	0.464790917943654	0.791309675483877
Bacteroides	7.15476870168696	7.99592893592223	6.7518054989294	-1.04648680538647	1.46142013340225	-3.14467118051382	1.84359402251899	0.209144179607559	2.99995531877017	-0.6742007855395	-6.84586204142123	2.05595106842179	0.240901301832899	0.0279428116733384	0.355912176718359	0.0355843199141265	0.447149482589677
Barnesiella	-0.350579999774947	1.81976871688753	-0.67538060249327	-1.80624153976567	3.28605613564897	-6.26175456266097	7.05457752062755	0.388618619003788	9.69048749997425	-0.476590509433933	-5.70253371651791	3.7332627616901	0.314236165241819	0.318714749270835	0.71962901175323	0.163105535910406	0.639491979335183
Bifidobacterium	5.73482282466189	5.34291866304666	6.06503433068228	0.777467308137678	1.30451225167391	-1.38162999407773	3.20537609039476	0.191036962686769	2.80648177610043	0.586479346222913	-1.76439032177118	5.86149823934777	0.263431618753567	0.0688746508777424	0.536054378379002	0.0789722129913178	0.538537972930686
Bilophila	0.205016552966818	0.46121188725778	0.033239964999999	-0.10786345733113	2.0759630377505	-3.20148068346843	4.06226647392969	0.288867699114111	4.78794342184502	-0.0510555995839442	-3.36201072295248	3.69231641148647	0.474870023637071	0.862522906799491	0.9413084615992	0.87323107615732	0.952264000846969
Blautia	8.18311321121664	8.53906119449766	7.8211091111374	-0.670301175214955	0.738538059139302	-2.02384349711598	0.758612683393356	0.141308707714612	1.96600890105843	-0.846288014625889	-7.39158598674401	1.44361722908237	0.197916786158232	0.00553932771292066	0.300894479356188	0.0140582624412621	0.3968510071447
