rab.all	rab.win.Healthy	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
0	6.46180790818824	6.6083941559395	6.25692157808666	-0.281648043942106	1.17117356596943	-2.14066186580363	2.09379563591323	0.174431295788436	2.78123441921279	-0.2208430218536	-4.33797160410694	3.02671266985846	0.401041670304498	0.309074627441122	0.717610443999256	0.236864094797519	0.689271200593118
1	5.94948820467579	6.12174772400597	5.72605350926399	-0.323070358099482	1.017056860948	-2.03595086600837	1.89509724165355	0.141788369163688	2.47368438037539	-0.292273214074429	-4.47634926454349	3.6520148793922	0.359141189522105	0.26330766775545	0.685258101171255	0.091599018589523	0.57882888933246
2	5.64099819364232	5.95555988596917	5.23353103141335	-0.564842984531655	1.30091115037047	-3.00048578839153	2.13353552390641	0.196653489830371	3.37810111020425	-0.397076723037463	-4.8109412883438	2.68142222164863	0.330513995043689	0.0365931714966728	0.540543534963618	0.030904507448819	0.495210150469864
3	4.88202529564378	5.31174317029077	4.63105824184489	-0.427284425115073	1.77518703688199	-3.31629871741149	2.92987606227089	0.326380456239823	3.82065889217045	-0.236969068928626	-4.09808970615652	2.85140353397563	0.402343753586143	0.277121122529042	0.694025525521161	0.223720343255022	0.681314337576004
5	5.14312938776832	5.21392602674293	5.07478008752055	-0.214007219517276	1.17749939542534	-2.54635062743125	2.03885182278132	0.158137629873772	2.80840555156822	-0.164152529256101	-5.00873922296589	3.12414302334449	0.420949905267292	0.219492832513958	0.658193576854002	0.346017908013215	0.759135074050701
4	5.2589011151125	5.27797692203455	5.24124695189635	-0.185752055600622	1.1471836131151	-2.44113374129681	1.77699575844528	0.190832071962111	2.80184558604207	-0.148434769694738	-4.19193483206091	2.5496057965365	0.429036460891383	0.309517876835775	0.716996871261002	0.441844439286823	0.813862056662067
6	5.13512077330153	5.30914344313295	4.82695510894997	-0.537940864742755	0.974179954904995	-2.188340865405	1.39245326092567	0.18187320779456	2.24476811109739	-0.509371946383261	-5.05033386708963	1.9433942048749	0.281717641263225	0.00937730252002376	0.37098440148266	0.0077390047475383	0.346207492690478
11	4.97636459808984	5.08371069408391	4.57011283550491	-0.542295578359961	1.2067849102347	-2.70354111391473	1.55621960294802	0.20459887783595	2.86351060358497	-0.399559288503587	-5.23904803817948	2.19634829820416	0.336588548128808	0.0304657797214121	0.538604414398892	0.0478709126099746	0.525995998422785
7	4.23356896921055	4.41278703615558	4.06308583768653	-0.231796599224539	1.68362488169541	-2.9830816592179	3.22189349535484	0.239356012728224	3.93973673701216	-0.123418875017757	-4.53071409236824	3.75533595003162	0.451528954230932	0.761855685260189	0.93994500579057	0.581316708018271	0.885223334887414
8	3.87042792191582	4.48365174022719	3.68709226960999	-0.308215113421142	1.96037350406172	-3.9861289716834	3.00559745853403	0.309730441235967	4.40516717796991	-0.136804241433901	-4.8079096668078	2.93788052338766	0.451528954230932	0.237512453600953	0.669733370041138	0.432823492985846	0.808332165948556
13	4.42723496448033	4.55264493755551	4.22926764216491	-0.373424526088176	1.17892205831906	-2.7005432659795	2.06518230798556	0.169191162210789	2.96852724944529	-0.283692126589756	-5.43998639003246	3.07174693882924	0.344401047751942	0.151825662081998	0.59978678365467	0.0503314829960075	0.529468314045691
9	4.05622782407337	4.24948729304696	3.25482411407313	-0.268590405556677	2.00616499797063	-3.39259220951149	3.38184464024605	0.292050949225283	4.2953061552121	-0.126372403971655	-4.57181498791317	3.48877263755606	0.44270833538387	0.443963776766611	0.827510288610958	0.453282635480588	0.818825640824307
1143	4.06735187856412	4.35993319851196	3.95201564847652	-0.0530001649366252	1.63601328791241	-2.73742209944046	2.95227427933709	0.261247231796514	3.3651272307735	-0.0295660396496025	-3.96291185058421	3.5461866385244	0.488932292057784	0.873677579311362	0.963496506707168	0.816220076361069	0.965215762815194
15	3.65598197443732	3.24091524606265	4.17500339256359	0.923330825837565	1.48867047449545	-3.03812517164984	3.52062854820102	0.24419011076617	4.69893627549579	0.530065918129087	-3.03800983001105	5.28003717664622	0.27130775255655	0.0179248592285409	0.487266126559555	0.00325005661188111	0.233396147085383
10	1.8717233244386	1.65933237147919	2.10743962881541	-0.171949782415221	3.90449637067689	-7.26604042794752	5.54771483727285	0.560804390451549	8.13073346099453	-0.0441251547563061	-4.33031151289817	3.17985118722738	0.485361093555222	0.554562903882691	0.877442006508258	0.853817612746562	0.970113519811562
14	3.49422895991901	3.95216817078124	3.13106435986298	-0.659551183282486	1.56723031075779	-4.10749446700163	2.50310956104415	0.26439657918719	4.18564717153262	-0.345865190849177	-5.5413469966673	2.5365219294483	0.329212758934831	0.0535899518022055	0.547640469760551	0.0378227330209981	0.509298791167001
12	3.72897372790245	3.91157007871537	3.20027777727498	-0.626428761287221	1.62906366976892	-3.51610183183513	2.79295218735987	0.274752440045885	4.06638606732466	-0.350046622912816	-4.60716479485143	2.74763682258766	0.356770838844616	0.0925068071553121	0.570519983449392	0.0666023208510095	0.556844155619349
39	3.67124406152411	3.75673757846996	3.43491520881774	-0.188465005031769	1.43803413047115	-2.79070149820295	2.47806448397548	0.220224649111756	3.23573514385665	-0.130195627281251	-3.97817675429559	3.33869049017944	0.441769683279473	0.525962876649023	0.864953594919117	0.506669244817144	0.847210050868426
17	2.37236918993071	2.40114728626367	2.28351233005355	-0.370530805833068	2.73710537612502	-5.33530674559741	3.78316376957205	0.324752017192802	5.89279228399873	-0.149364918815233	-6.29989534685087	3.46973486173598	0.437865974900216	0.120061072910352	0.584755945920722	0.426721494337041	0.80566474047778
16	3.8703227009131	4.17475874490604	3.43032797554907	-0.592156967508616	1.33185982433304	-2.7861952604908	2.11762076882841	0.190658678850541	3.5237287250869	-0.399496348145872	-5.65285677399889	2.82837237861384	0.324658432556771	0.0583352857325451	0.550232266554862	0.031208268375961	0.492461493769302
18	3.71854583830703	3.9461016642607	3.39264874090142	-0.503003327955511	1.41635198044511	-2.97749836830467	2.30455292722744	0.197187434513559	3.35153588802498	-0.325065446745225	-5.59980395713224	3.19955169552338	0.368900460398642	0.146192705253988	0.597137676341234	0.123106938610858	0.604757161699035
23	3.53758002030867	3.93723919733627	2.95319181743982	-0.835679285274529	1.50707313158456	-3.40359815972424	2.21999116023709	0.257762688879627	3.37660156092385	-0.534766474337605	-5.52488140156514	2.1681983395857	0.294730002202586	0.00765660983222282	0.364184613281953	0.0136978154943306	0.403349876955566
20	3.79378112570099	3.9082147073576	3.66615984600156	-0.252511904789358	0.881801106987613	-2.70014651693917	1.49685143329126	0.140827567568126	3.04794709057634	-0.255970485088706	-5.49552898119921	2.73202817939025	0.361328130306218	0.104803957224474	0.574877546819562	0.0901566063247955	0.572037288325821
1090	3.55033034357454	3.76632676353126	3.50313601654465	-0.00692952214834275	1.10682756102437	-1.75805389103653	2.13923745697168	0.17218971998709	2.41338378602846	-0.00554016919962862	-3.52460366835855	3.7058675372023	0.494469746454051	0.92443237552955	0.976100852646805	0.86213245890821	0.970604353261447
22	3.39205194318431	3.55678032961468	3.12591642851609	-0.336968643402463	1.46451934619984	-2.70857432871793	3.22371972329448	0.223004889267006	3.71713471780956	-0.197496977038075	-3.99551670900559	4.26594376828362	0.4176968149555	0.694343504668614	0.923567031714556	0.314706847000755	0.739772818482415
19	3.20245764626375	3.40069773723142	2.9436929478366	-0.230913086097946	1.8832343507687	-3.83336565176066	3.13720888101926	0.28092646130167	4.33264669045378	-0.120462303394727	-3.93013419437798	3.38412966740533	0.447265626883597	0.540239046213328	0.870214897758551	0.586356689402092	0.887894899773881
21	1.37909982327714	1.06720631627937	2.24454049024819	0.895002381518617	3.25473451649351	-5.37113701088507	6.87851102722723	0.532806948786202	7.62046405743245	0.246749974795463	-2.87486959895551	4.68048429159212	0.393229170618135	0.172106097628921	0.620173209228746	0.180063513352928	0.652298774330499
33	1.77037007748063	1.60973580617927	1.88427008293265	0.115320779959121	2.07335678956123	-4.90295077362607	3.83825393976867	0.319632915008042	5.9382854419244	0.0447822022915498	-5.76777541321215	3.65597885282633	0.477213542473188	0.473790972260903	0.843320803275666	0.831455810062204	0.965240310433822
1489	0.925352164289845	0.742727251483688	1.47776475575268	0.135527906954122	3.30982015101412	-6.5763044542149	5.91306072113983	0.415465326822032	7.59858226647779	0.0395427280549272	-4.73070280305332	3.82764959060337	0.484059857426887	0.816333514055498	0.951109481348974	0.786732283285908	0.95649710654799
25	0.948152782230167	0.6701265647947	1.25118826465864	0.480201309576456	3.01091203125456	-5.99421820559248	5.09625241207467	0.349771939345022	6.61189274969844	0.156023084194175	-4.94368443426119	5.2262055705876	0.401041670304498	0.702983791485574	0.929929623031811	0.276057110262543	0.714024152448745
997	2.57011446071395	2.7207625321723	2.482827378833	-0.0290281411194426	1.76959855604729	-2.96007574101359	3.01993971548878	0.240747371062877	4.08639500434845	-0.0134974199474183	-4.3730200319804	3.53255718175137	0.495120364518276	0.819112589069235	0.951270445360565	0.941612655752965	0.984777213432381
24	2.37122944435812	2.32742247854207	2.41553734768483	0.0371938677812782	1.55718931388693	-2.75345514035188	3.7849195323186	0.23557891840031	4.09701893763055	0.0225719306738302	-3.8646580086861	4.62206161351942	0.485361093555222	0.747245860434858	0.93733968117045	0.837607391036844	0.965747243642107
34	1.52635134796668	1.18632314272111	1.90909703952843	0.402180547684428	2.4879773460248	-4.0836821812561	4.45367358098975	0.236178330280368	4.99073648352529	0.165314353230337	-4.11805012911671	5.77380877387723	0.405985689840014	0.489065276438968	0.848774960004712	0.260106435377279	0.703294889633814
