Ltag-Rtag	total	OTU_0	OTU_1	OTU_2	OTU_3	OTU_4	OTU_5	OTU_6	OTU_7	OTU_8	OTU_9	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_19	OTU_20	OTU_21	OTU_22	OTU_23	OTU_24	OTU_25	OTU_26	OTU_27	OTU_28	OTU_29	OTU_30	OTU_31	OTU_32	OTU_33	OTU_34	OTU_35	OTU_36	OTU_37	OTU_38	OTU_39	OTU_40	OTU_41	OTU_42	OTU_43	OTU_44	OTU_45	OTU_46	OTU_47	OTU_48	OTU_49	OTU_50	OTU_51	OTU_52	OTU_53	OTU_54	OTU_55	OTU_56	OTU_57	OTU_58	OTU_59	OTU_60	OTU_61	OTU_62	OTU_63	OTU_64	OTU_65	OTU_66	OTU_67	OTU_68	OTU_69	OTU_70	OTU_71	OTU_72	OTU_73	OTU_74	OTU_75	OTU_76	OTU_77	OTU_78	OTU_79	OTU_80	OTU_81	OTU_82	OTU_83	OTU_84	OTU_85	OTU_86	OTU_87	OTU_88	OTU_89	OTU_90	OTU_91	OTU_92	OTU_93	OTU_94	OTU_95	OTU_96	OTU_97	OTU_98	OTU_99	OTU_100	OTU_101	OTU_102	OTU_103	OTU_104	OTU_105	OTU_106	OTU_107	OTU_108	OTU_109	OTU_110	OTU_111	OTU_112	OTU_113	OTU_114	OTU_115	OTU_116	OTU_117	OTU_118	OTU_119	OTU_120	OTU_121	OTU_122	OTU_123	OTU_124	OTU_125	OTU_126	OTU_127	OTU_128	OTU_129	OTU_130	OTU_132	OTU_133	OTU_134	OTU_135	OTU_136	OTU_137	OTU_138	OTU_141	OTU_142	OTU_143	OTU_145	OTU_146	OTU_147	OTU_148	OTU_149	OTU_150	OTU_151	OTU_152	OTU_153	OTU_154	OTU_155	OTU_156	OTU_158	OTU_159	OTU_160	OTU_161	OTU_162	OTU_164	OTU_165	OTU_167	OTU_168	OTU_170	OTU_173	OTU_174	OTU_175	OTU_176	OTU_177	OTU_180	OTU_182	OTU_183	OTU_189	OTU_192	OTU_194	OTU_195	OTU_199	OTU_200	OTU_204	OTU_206	OTU_209	OTU_212	OTU_218	OTU_223	OTU_226	OTU_228	OTU_234	OTU_235	OTU_238	OTU_240	OTU_241	OTU_244	OTU_248	OTU_249	OTU_250	OTU_251	OTU_268	OTU_274	OTU_276	OTU_277	OTU_291	OTU_293	OTU_303	OTU_314	OTU_318	OTU_332	OTU_345	OTU_353	OTU_356	OTU_363	OTU_368	OTU_377	OTU_378	OTU_403	OTU_410	OTU_422	OTU_432	OTU_447	OTU_450	OTU_464	OTU_467	OTU_468	OTU_484	OTU_486	OTU_500	OTU_505	OTU_507	OTU_516	OTU_520	OTU_523	OTU_547	OTU_553	OTU_558	OTU_564	OTU_576	OTU_585	OTU_606	OTU_644	OTU_665	OTU_668	OTU_672	OTU_689	OTU_700	OTU_712	OTU_718	OTU_747	OTU_763	OTU_789	rem
007_HH	16375	1231	859	849	997	75	467	791	617	736	419	536	569	109	218	17	83	108	243	270	144	381	14	190	104	111	23	55	74	72	5	165	120	79	68	113	176	27	40	84	65	134	492	77	18	18	140	34	157	76	30	73	57	0	137	25	24	55	54	14	62	67	72	37	56	26	0	31	18	47	64	7	6	22	5	5	17	23	72	54	34	70	42	1	1	2	32	9	14	13	24	28	9	18	26	4	19	23	0	8	3	8	18	25	14	2	14	7	7	14	32	18	23	34	19	23	28	1	18	17	8	9	6	14	21	6	13	0	7	3	1	2	21	1	13	2	5	13	3	23	16	39	7	6	7	12	3	3	11	3	42	10	3	12	0	14	7	12	0	5	16	8	10	45	4	9	1	5	10	9	12	9	0	0	1	2	1	5	0	64	5	7	0	0	0	5	12	0	31	4	0	0	0	2	4	0	2	0	0	0	10	0	1	2	1	120	2	7	7	0	1	2	0	4	3	47	3	0	174	21	0	5	1	0	4	14	4	3	21	2	18	46	25	6	103	13	0	10	9	8	108	5	17	25	6	9	19	71	440
863_HL	16966	4720	753	604	611	55	230	503	1050	148	706	291	59	331	575	147	119	63	44	93	237	187	432	74	15	54	64	13	75	18	374	49	72	78	66	4	4	67	110	76	42	58	38	63	21	26	60	2	140	84	20	10	16	105	27	21	32	5	9	22	7	45	53	25	33	23	11	15	1	45	85	12	0	129	13	12	55	19	5	40	19	18	16	2	2	1	23	11	9	3	30	31	2	41	18	1	26	22	0	32	2	17	11	7	51	9	26	6	5	2	3	18	4	36	18	24	18	3	10	1	2	8	8	32	7	7	2	4	5	5	40	9	17	1	1	3	0	6	7	9	13	37	14	2	12	20	3	4	15	14	7	11	6	7	1	9	15	4	1	1	16	0	5	43	3	9	1	15	10	5	8	2	3	8	0	4	3	4	1	46	0	3	1	0	0	1	11	0	19	2	0	0	0	0	2	0	1	0	0	0	8	0	0	0	0	65	4	3	1	0	8	5	0	4	7	26	4	1	24	5	8	3	3	10	0	11	11	6	29	0	26	41	273	6	12	11	2	7	8	5	80	0	21	5	0	8	20	12	410
528_HH	25385	3068	4530	1479	1275	384	486	172	624	1133	1053	160	715	501	307	149	190	54	87	178	196	135	21	30	32	52	32	16	112	49	111	64	203	23	164	17	87	52	17	144	83	83	19	74	30	63	70	11	174	140	49	19	53	76	29	26	25	13	9	66	8	28	60	57	53	51	36	39	265	46	1	13	70	6	20	5	34	23	8	44	57	36	11	63	1	7	22	39	45	24	45	55	32	2	15	3	43	29	56	32	0	11	22	7	4	3	1	2	19	14	4	14	3	5	8	18	14	1	0	46	36	2	10	4	24	17	18	1	25	6	1	5	23	16	7	8	3	7	16	17	18	18	40	0	1	2	1	2	20	18	2	19	9	14	0	16	6	18	4	5	23	21	16	63	5	2	0	12	6	8	6	1	0	13	0	3	1	6	0	36	8	0	0	0	0	2	9	1	15	5	1	0	0	2	3	0	0	0	0	21	6	0	1	2	0	2163	2	3	21	0	26	1	0	2	6	28	5	0	35	0	142	12	6	0	7	15	12	5	44	0	6	120	259	13	43	2	2	1	16	10	156	0	12	6	2	8	44	43	456
508_LH	14046	802	130	703	1135	88	331	623	84	174	418	144	111	153	90	242	40	23	358	338	125	217	211	23	147	87	324	62	139	76	51	126	14	26	36	4	87	80	189	64	13	51	566	64	72	39	77	34	113	55	26	52	46	25	26	51	29	22	22	34	2	47	38	63	29	29	3	7	4	33	92	153	5	23	5	0	54	14	26	61	62	51	48	1	31	4	20	13	11	7	14	11	15	13	18	12	19	22	6	17	1	10	4	16	1	3	6	2	14	11	1	12	15	32	8	20	4	12	70	7	4	8	2	5	12	9	14	1	4	2	1	2	4	20	7	1	14	4	16	4	11	21	4	8	6	4	3	4	8	11	26	2	9	5	34	6	6	8	13	7	7	0	6	31	8	2	1	9	12	12	6	3	91	1	4	1	3	2	0	78	1	5	0	0	0	3	11	0	34	1	0	0	0	1	2	0	1	0	0	0	12	0	0	2	0	1210	4	2	2	0	1	186	0	7	5	8	7	0	110	1	0	3	2	1	16	13	2	2	21	0	29	32	31	7	53	6	9	12	5	7	226	0	24	35	1	5	12	54	391
862_HL	30234	2284	6095	2454	2536	322	168	767	201	189	772	509	521	964	204	879	152	235	166	225	255	92	34	295	116	97	319	125	145	234	124	33	310	180	154	15	50	135	268	133	123	53	684	118	161	50	79	9	267	241	86	25	43	17	15	67	53	33	29	25	16	21	78	81	53	47	37	33	13	40	8	7	14	398	40	18	17	63	7	13	88	27	29	5	28	16	26	90	34	32	44	52	6	14	20	21	56	32	9	50	2	23	15	4	15	85	7	1	5	6	19	34	10	2	5	10	39	3	26	0	42	9	15	10	12	35	5	0	17	13	0	8	25	1	11	21	20	15	20	37	23	35	1	8	7	0	19	7	34	7	16	17	10	24	20	5	4	16	10	11	38	0	12	87	5	1	1	11	8	2	8	3	0	10	1	3	4	4	12	85	0	3	0	0	0	5	9	1	32	0	2	0	0	0	0	0	0	1	0	0	7	0	0	0	0	726	6	0	0	0	0	28	0	6	6	110	8	0	33	31	22	13	7	20	3	6	13	2	54	0	19	71	103	26	15	5	10	7	12	27	145	0	16	1	0	1	52	75	681
856_HL	24434	1493	6180	1226	2709	202	370	392	1210	541	990	124	221	167	178	76	255	218	94	117	389	348	688	59	121	94	19	83	62	53	24	35	27	43	43	11	106	46	48	71	23	19	50	77	160	16	125	54	135	130	32	120	24	141	134	17	70	15	8	15	100	49	68	35	37	41	36	26	8	20	12	45	56	4	20	3	3	32	39	11	22	34	13	43	2	8	18	52	19	11	26	27	31	23	13	2	40	36	4	53	33	25	6	4	5	61	15	2	16	0	6	16	3	11	14	19	21	1	8	27	4	5	3	15	13	24	16	3	9	4	0	17	17	2	4	6	0	9	8	11	26	15	1	7	5	14	1	7	16	3	4	12	0	8	8	4	12	5	4	11	45	1	8	57	3	14	0	25	1	7	6	6	0	6	1	7	7	6	0	24	1	3	2	0	0	8	11	3	11	5	0	3	0	5	2	6	1	0	0	0	5	3	0	2	2	508	12	11	0	1	6	2	0	3	11	58	2	0	77	3	14	3	1	36	5	4	23	4	34	0	22	66	157	12	80	0	2	9	13	13	59	9	18	42	13	5	35	84	434
587_LL	20551	2777	426	956	918	1115	1144	158	207	436	376	675	128	96	289	131	195	207	452	264	455	62	11	199	311	166	100	240	232	129	176	190	113	133	56	218	47	92	160	66	139	71	75	107	24	33	57	12	169	245	55	57	56	6	15	50	81	56	27	29	24	86	50	35	25	53	25	18	31	31	20	19	55	1	22	1	8	39	11	21	49	17	29	10	5	20	17	16	27	26	28	22	14	21	32	14	42	32	35	68	1	28	40	16	11	9	8	22	4	1	57	18	13	8	6	4	16	21	28	22	8	3	10	10	16	23	5	16	12	4	3	4	10	8	2	11	5	8	17	21	29	20	11	4	2	32	13	8	18	6	25	12	6	9	0	7	4	8	6	8	70	0	12	46	2	12	0	26	6	12	4	1	0	0	0	7	5	5	0	41	3	8	4	0	1	3	12	4	11	2	0	3	0	2	4	11	2	0	0	0	5	3	0	1	27	1328	12	2	15	2	1	2	0	6	1	110	3	0	26	4	2	9	0	25	0	4	10	2	25	25	16	173	33	11	14	2	2	7	14	33	219	18	30	4	20	2	31	202	425
541_HL	12110	1852	315	535	249	43	402	429	108	431	167	190	132	105	112	25	134	36	93	176	216	212	12	60	91	167	24	130	135	105	15	101	95	37	56	247	39	30	101	67	75	50	62	65	7	35	70	109	172	139	38	25	50	6	112	31	42	19	32	38	11	69	59	44	29	48	23	35	50	41	9	5	180	3	13	0	27	25	53	46	55	76	1	3	0	3	13	16	30	15	36	29	80	6	28	34	31	38	2	23	3	9	12	0	2	0	6	5	4	10	4	5	9	6	2	7	20	10	10	2	35	4	5	5	14	10	4	17	8	8	1	2	17	6	8	11	27	9	8	10	21	18	13	12	5	17	6	5	24	13	6	11	0	8	0	4	12	11	0	5	22	20	8	37	3	3	10	13	2	9	6	5	0	4	1	5	5	2	0	16	13	4	4	0	0	3	8	4	16	6	0	7	0	2	1	7	2	0	0	18	7	2	1	1	2	90	8	1	15	0	25	1	0	2	1	46	5	0	79	10	40	5	0	14	3	10	6	3	3	0	18	79	103	10	78	1	0	1	13	11	146	8	19	21	10	10	30	34	406
030_HH	17014	3507	141	1996	814	31	70	317	128	1376	916	567	219	443	357	232	203	127	77	159	236	128	17	123	29	78	309	74	62	70	16	84	13	98	4	10	108	40	10	67	52	8	37	68	7	42	61	61	114	141	62	24	44	38	37	36	63	14	20	15	12	73	66	25	36	56	19	26	0	36	8	5	75	0	15	7	13	29	2	15	27	51	8	2	4	8	22	14	24	11	19	27	4	1	27	8	28	32	1	32	4	15	0	5	23	1	0	14	9	2	2	17	8	4	6	19	11	1	7	4	47	11	4	6	11	18	2	37	5	8	0	22	7	2	5	12	12	6	6	8	20	10	1	4	0	10	4	2	11	6	9	11	0	5	0	12	7	7	0	8	30	1	5	50	0	10	10	16	3	8	5	14	0	1	0	5	5	3	0	20	3	6	0	1	1	4	6	3	16	35	0	5	0	4	2	5	2	0	0	0	2	3	0	0	2	48	6	2	10	1	5	4	0	6	4	23	6	0	83	4	8	7	2	52	10	5	12	4	48	0	17	73	73	11	30	1	2	5	11	12	86	7	17	19	13	10	36	28	351
62_LH	15611	2256	144	828	603	120	899	632	130	209	295	160	286	143	198	537	295	269	154	200	216	109	15	208	140	159	288	157	151	170	18	17	9	147	17	205	29	61	183	73	109	27	36	125	4	15	11	112	142	112	43	32	56	4	4	37	42	106	45	18	24	41	66	33	48	31	5	25	59	43	13	11	23	2	18	1	36	36	14	16	65	40	0	2	43	2	21	16	19	6	19	11	12	15	31	3	51	53	28	20	1	25	0	3	24	1	7	2	7	0	47	14	10	10	0	17	10	28	24	1	3	11	2	14	17	17	2	16	9	10	1	2	8	4	17	6	8	12	12	15	27	13	13	2	7	14	3	3	25	9	11	6	0	7	8	4	5	10	0	5	21	6	6	60	5	7	0	19	2	6	8	4	0	2	1	8	3	5	17	56	2	15	2	1	0	2	12	3	14	0	0	1	0	3	3	11	2	0	0	0	6	5	0	2	5	640	6	0	0	3	0	1	0	4	4	149	7	0	58	10	1	4	9	11	2	15	5	6	29	0	24	57	46	4	13	2	18	6	5	12	158	15	24	12	14	26	32	69	384
