Ltag-Rtag	total	ISU_0	ISU_11	ISU_12	ISU_14	ISU_16	ISU_17	ISU_20	ISU_35	ISU_37	ISU_45	ISU_49	ISU_54	ISU_56	ISU_64	ISU_66	ISU_69	ISU_70	ISU_73	ISU_80	ISU_85	ISU_92	ISU_93	ISU_94	ISU_96	ISU_100	ISU_108	ISU_112	ISU_116	ISU_123	ISU_125	ISU_130	ISU_133	ISU_140	ISU_153	ISU_163	ISU_167	ISU_168	ISU_171	ISU_173	ISU_179	ISU_182	ISU_185	ISU_191	ISU_195	ISU_198	ISU_201	ISU_205	ISU_221	ISU_224	ISU_226	ISU_227	ISU_231	ISU_232	ISU_238	ISU_250	ISU_257	ISU_262	ISU_271	ISU_284	ISU_310	ISU_313	ISU_326	ISU_334	ISU_336	ISU_339	ISU_345	ISU_355	ISU_364	ISU_370	ISU_380	ISU_402	ISU_418	ISU_427	ISU_438	ISU_443	ISU_449	ISU_452	ISU_455	ISU_471	ISU_484	ISU_490	ISU_502	ISU_510	ISU_517	ISU_519	ISU_532	ISU_534	ISU_555	ISU_568	ISU_572	ISU_579	ISU_580	ISU_582	ISU_588	ISU_589	ISU_593	ISU_599	ISU_602	ISU_603	ISU_615	ISU_642	ISU_651	ISU_655	ISU_656	ISU_674	ISU_681	ISU_700	ISU_704	ISU_709	ISU_717	ISU_728	ISU_744	ISU_755	ISU_756	ISU_758	ISU_764	ISU_780	ISU_797	ISU_805	ISU_821	ISU_830	ISU_845	ISU_856	ISU_857	ISU_858	ISU_862	ISU_877	ISU_886	ISU_892	ISU_919	ISU_954	ISU_958	ISU_974	ISU_1013	ISU_1035	ISU_1036	ISU_1066	ISU_1085	ISU_1092	ISU_1116	ISU_1120	ISU_1131	ISU_1152	ISU_1165	ISU_1188	ISU_1206	ISU_1226	ISU_1264	ISU_1281	ISU_1290	ISU_1307	ISU_1315	ISU_1333	ISU_1342	ISU_1373	ISU_1391	ISU_1420	ISU_1457	ISU_1468	ISU_1470	ISU_1480	ISU_1507	ISU_1516	ISU_1524	ISU_1534	ISU_1541	ISU_1561	ISU_1608	ISU_1614	ISU_1675	ISU_1677	ISU_1700	ISU_1711	ISU_1728	ISU_1730	ISU_1752	ISU_1764	ISU_1767	ISU_1781	ISU_1789	ISU_1790	ISU_1794	ISU_1837	ISU_1845	ISU_1847	ISU_1898	ISU_1915	ISU_1957	ISU_1973	ISU_1980	ISU_1981	ISU_2012	ISU_2036	ISU_2050	ISU_2100	ISU_2115	ISU_2366	ISU_2390	ISU_2475	ISU_2568	ISU_2576	ISU_2637	ISU_2642	ISU_2729	ISU_2733	ISU_2734	ISU_2740	ISU_2780	ISU_2924	ISU_2932	ISU_2937	ISU_2949	ISU_2960	ISU_2976	ISU_2996	ISU_3017	ISU_3059	ISU_3103	ISU_3157	ISU_3159	ISU_3210	ISU_3258	ISU_3265	ISU_3283	ISU_3284	ISU_3288	ISU_3366	ISU_3384	ISU_3398	ISU_3474	ISU_3506	ISU_3551	ISU_3585	ISU_3646	ISU_3714	ISU_3788	ISU_3869	ISU_3878	ISU_3881	ISU_3908	ISU_4003	ISU_4039	ISU_4052	ISU_4070	ISU_4223	ISU_4231	ISU_4302	ISU_4346	ISU_4365	ISU_4462	ISU_4477	ISU_4488	ISU_4733	ISU_4886	ISU_4903	ISU_4949	ISU_4984	ISU_4987	ISU_4993	ISU_5061	ISU_5125	ISU_5195	ISU_5200	ISU_5277	ISU_5331	ISU_5360	ISU_5415	ISU_5456	ISU_5629	ISU_5731	ISU_5825	ISU_5908	ISU_6308	ISU_6364	ISU_6778	ISU_6861	ISU_6880	ISU_7000	ISU_7136	ISU_7138	ISU_7239	ISU_7307	ISU_8180	ISU_8240	ISU_8368	ISU_8416	ISU_8482	ISU_8503	ISU_8886	ISU_8955	ISU_9994	ISU_10216	ISU_10712	ISU_11701	ISU_12269	ISU_12990	ISU_13078	ISU_13162	ISU_13408	ISU_14237	ISU_14698	ISU_14765	ISU_15584	ISU_15902	ISU_16013	ISU_16017	ISU_18611	ISU_21170	ISU_22116	ISU_24046	ISU_29787	ISU_31327	ISU_31966	ISU_43094	ISU_52913	ISU_63197	rem
541_HL	12110	72	0	42	28	156	4	81	37	8	224	14	225	25	1023	2	28	262	28	0	18	3	21	62	16	22	7	77	8	3	98	11	74	8	56	15	8	71	28	11	8	267	17	0	9	10	41	58	74	79	133	43	36	1	4	141	10	1	15	2	5	57	11	27	1	46	34	6	21	0	12	1	19	54	18	19	18	23	12	11	68	11	70	1	1	51	52	0	20	42	80	1	4	0	43	26	0	5	16	0	20	69	4	23	58	1	8	21	5	25	11	21	5	31	15	5	8	14	41	11	1	11	4	0	104	0	0	2	1	7	42	37	10	2	0	15	1	17	2	4	9	3	5	1	1	23	6	1	6	7	7	68	2	1	5	1	4	3	1	55	2	2	0	4	14	1	13	1	12	19	6	7	26	1	0	8	7	3	1	5	25	3	9	25	1	8	16	2	2	0	3	6	0	1	0	3	5	20	11	66	1	0	1	1	0	3	4	4	2	18	0	14	1	11	2	58	0	2	3	4	5	0	18	88	2	2	9	15	2	5	9	8	7	6	3	1	0	3	18	0	2	0	0	2	12	2	10	1	1	24	13	35	6	5	1	5	17	5	0	2	3	1	2	8	7	2	0	1	2	1	1	5	2	10	3	2	6	10	0	1	0	2	8	5	0	6	5	3	7	3	4	6	5	1	2	1	0	4	20	0	3	1	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	5564
522_HH	20347	239	1	72	20	2138	39	245	24	9	345	276	38	85	1043	13	1	445	33	25	362	4	1	80	6	67	7	19	25	9	36	95	7	109	61	24	17	335	12	28	4	30	49	11	251	16	104	167	132	80	152	128	34	9	14	2	16	32	16	5	4	513	21	23	48	23	80	5	20	0	6	13	20	267	2	58	23	52	4	17	4	0	95	6	0	8	49	4	32	31	128	29	11	14	17	1	1	114	4	49	13	6	256	6	130	9	17	24	1	41	1	8	2	14	20	11	0	4	70	11	15	24	2	16	110	0	16	4	0	5	44	76	0	2	5	2	6	2	18	0	12	0	10	2	6	53	0	5	1	1	4	40	3	8	4	6	4	4	4	1	12	4	4	5	2	4	17	0	33	8	9	9	53	0	9	1	17	12	5	3	21	22	0	7	7	0	0	0	2	0	16	11	0	11	0	8	9	28	11	16	9	4	10	7	2	1	4	25	2	0	12	14	6	12	3	24	5	3	6	0	0	0	7	12	0	4	4	12	5	6	7	3	3	8	3	3	6	5	3	1	21	1	9	2	16	2	5	3	9	1	0	0	2	21	25	7	5	4	0	17	3	2	0	1	0	0	4	2	0	11	0	3	3	0	3	0	9	4	0	17	0	1	5	4	0	0	16	2	3	4	1	11	1	4	6	4	2	2	2	1	5	4	1	0	0	0	1	2	0	4	1	0	0	0	3	0	0	8826
843_LH	37007	2036	0	101	30	2639	13	299	113	152	630	156	44	109	2707	22	9	500	14	2	87	2	6	23	43	29	1194	343	17	12	878	83	209	102	86	16	0	777	117	42	17	220	46	2	73	14	225	129	154	5	237	160	24	29	131	4	8	3	15	3	11	1041	59	4	3	118	85	5	18	152	180	35	11	102	33	158	48	29	6	50	40	0	21	1	43	84	15	19	36	7	97	0	53	15	46	40	9	53	35	1	28	91	43	10	481	13	29	67	0	51	7	9	27	20	16	13	17	27	66	26	7	28	29	0	40	6	1	22	5	15	34	124	21	1	12	5	2	9	89	0	11	0	2	11	25	9	1	12	4	3	8	39	10	1	4	0	8	36	7	95	21	3	6	7	2	0	23	3	70	12	9	10	38	29	0	14	34	268	18	10	6	12	0	6	26	0	0	28	4	0	32	10	2	2	2	12	21	6	6	4	2	4	11	0	2	5	2	26	1	2	3	25	7	12	1	0	18	16	9	1	17	0	5	17	0	17	12	1	3	1	26	78	24	10	10	16	5	3	0	8	24	1	14	1	21	8	3	0	2	1	16	3	7	10	1	5	6	15	0	39	24	2	22	2	1	1	5	2	0	0	2	10	11	1	0	9	5	11	0	28	0	8	4	2	0	25	0	1	16	3	4	0	3	1	2	0	8	13	0	3	4	3	1	0	0	0	0	1	0	0	9	0	0	0	0	0	1	15745
62_LH	15611	245	7	383	50	64	6	184	10	38	472	150	517	95	1252	0	13	347	7	3	63	3	22	86	6	41	9	57	23	5	149	173	7	5	115	20	9	80	24	2	0	56	32	1	309	19	70	85	93	91	59	61	24	1	1	139	2	4	20	6	5	54	35	25	1	5	20	5	19	0	22	22	25	108	2	17	35	28	2	12	2	15	164	2	1	2	53	0	30	36	78	9	11	2	22	0	2	5	16	1	16	14	10	26	103	6	15	90	26	33	1	28	5	9	5	16	13	16	73	8	4	71	1	2	87	1	34	1	3	8	66	121	2	8	0	11	4	3	7	28	9	1	6	2	3	21	1	5	0	13	0	38	34	3	3	10	4	8	4	0	7	4	1	1	0	0	15	0	10	7	14	17	2	0	6	0	17	2	0	2	20	13	0	10	3	18	25	12	5	1	1	8	1	6	0	2	4	16	6	75	22	22	5	0	0	1	6	9	3	7	2	10	0	16	1	2	15	15	1	3	3	0	24	6	2	1	10	28	4	8	7	8	4	7	3	4	3	1	2	0	2	1	4	1	24	3	2	0	2	1	0	10	8	2	3	3	3	4	0	4	9	0	3	2	0	3	6	17	0	0	1	6	3	0	11	10	5	5	0	0	0	0	6	4	0	21	6	1	2	3	5	9	2	0	3	1	6	3	4	3	2	11	0	0	1	0	0	0	0	3	0	0	0	0	2	1	0	6910
030_HH	17014	334	0	23	22	72	7	120	2	7	1119	62	25	10	1887	5	14	184	2	0	14	1	0	32	15	19	7	154	61	9	447	196	9	8	2	23	12	146	169	10	1	806	3	0	116	8	257	42	73	38	74	9	46	0	3	5	6	3	13	18	13	46	11	41	1	46	24	7	14	0	80	13	19	41	14	60	21	30	44	23	22	29	128	6	0	8	24	1	43	12	57	0	20	0	23	6	2	3	10	1	17	39	4	15	175	12	11	61	6	27	0	12	0	8	21	8	23	8	108	17	1	7	1	0	57	0	3	2	1	11	36	68	7	0	0	4	11	3	4	5	4	0	6	5	8	27	9	4	6	1	2	57	2	0	3	1	2	0	1	16	13	3	0	8	3	0	27	0	12	13	4	14	23	1	1	0	20	27	0	4	34	10	1	8	16	1	0	2	3	4	5	5	1	4	0	8	14	7	10	42	8	0	1	0	2	9	5	0	2	26	5	46	0	14	3	0	2	15	8	7	0	0	7	31	11	3	16	12	3	5	9	23	4	12	2	7	2	3	7	5	4	1	24	0	15	2	6	0	2	4	10	1	4	2	2	6	11	4	0	0	23	1	8	0	8	1	2	0	1	2	2	2	0	2	2	11	3	11	0	0	0	18	7	3	0	6	1	0	2	5	2	7	10	0	5	0	5	4	8	4	2	5	0	0	2	0	0	1	0	2	4	0	0	0	3	0	0	7428
881_HH	17986	809	1	31	33	148	4	140	65	8	676	54	325	15	169	0	2	453	12	5	107	3	0	54	87	77	417	559	36	8	326	8	236	60	6	11	10	819	120	3	5	25	49	1	12	29	171	135	101	18	152	13	52	5	164	7	12	4	18	7	1	19	8	25	2	33	40	11	18	0	80	21	20	37	8	99	39	45	3	4	2	0	14	4	6	110	14	7	27	15	101	3	59	0	70	0	38	6	56	2	6	13	111	9	19	0	19	14	13	29	25	23	11	14	17	11	1	11	7	18	8	11	5	1	62	67	8	1	1	5	23	37	1	3	0	23	3	14	36	1	9	0	5	1	4	11	3	1	7	5	1	50	1	0	4	5	10	12	3	2	0	2	1	1	0	1	28	1	16	13	13	14	39	20	2	0	33	171	8	4	23	61	1	7	3	1	2	2	12	0	1	2	0	7	0	2	1	18	7	46	2	1	5	0	0	8	5	0	0	1	7	25	0	23	1	2	2	0	6	7	2	0	7	15	0	5	0	12	6	8	20	11	6	13	3	5	2	1	10	4	44	1	7	2	22	3	1	1	6	14	0	3	13	3	1	3	0	4	0	1	21	2	0	0	1	3	7	8	2	0	2	7	5	7	8	6	9	7	0	4	0	10	6	5	0	3	1	4	0	4	4	16	16	0	1	20	4	32	1	2	4	3	0	0	0	0	0	0	3	3	0	0	51	0	0	0	0	8038
045_HL	23131	251	7	1188	53	698	2	193	4	82	316	289	647	54	573	0	11	521	233	9	212	1	94	136	33	74	8	52	8	5	160	97	10	12	1	28	5	229	24	41	57	137	10	0	277	11	82	162	103	69	134	93	20	6	3	244	16	19	31	3	7	77	262	4	4	173	45	2	23	2	29	42	16	38	54	26	55	44	2	82	10	17	15	0	2	89	110	1	63	49	143	2	9	3	40	11	2	23	21	3	20	253	397	16	97	2	16	2	21	58	3	50	0	30	23	12	6	16	17	24	6	88	3	0	114	5	0	6	0	14	63	10	17	24	2	13	13	9	11	0	5	0	7	10	18	85	4	3	19	25	0	30	19	8	10	22	5	0	3	65	1	8	2	1	2	0	14	2	29	11	28	9	33	0	0	51	32	1	3	18	6	12	0	7	26	27	71	21	1	188	2	51	0	7	30	5	3	5	21	58	16	21	2	0	1	10	6	5	3	68	4	1	2	13	0	0	0	7	6	5	1	0	1	5	11	5	8	3	3	4	18	60	10	14	12	36	2	3	0	9	5	4	8	0	11	1	1	1	2	6	20	43	8	3	3	6	35	5	0	2	7	3	4	2	0	5	10	96	3	14	0	8	21	0	22	25	7	11	0	4	0	8	22	3	0	19	3	0	8	3	5	4	4	4	1	1	3	0	1	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	10231
013_LH	29028	1200	5	100	31	125	8	159	14	13	1640	234	499	78	2734	16	8	507	28	0	82	2	30	62	73	76	5	159	55	11	499	9	11	31	43	19	4	499	186	4	1	1265	14	5	86	12	172	135	89	185	227	86	32	42	114	98	8	6	16	3	11	133	32	20	4	58	80	10	15	3	116	21	12	72	25	47	19	19	23	69	17	25	515	3	33	41	44	1	62	44	163	1	39	1	27	21	9	6	18	0	30	62	189	25	276	13	12	31	18	57	5	25	11	22	25	4	41	5	80	19	4	24	7	1	97	3	4	18	14	17	29	76	28	6	1	8	8	14	26	20	7	14	0	8	38	16	14	10	13	15	1	46	12	1	3	1	8	18	8	79	13	9	2	11	2	1	20	2	16	10	10	10	73	0	0	1	26	2	4	21	16	72	0	10	52	0	20	5	3	22	5	4	0	1	0	17	14	9	7	43	2	2	2	0	0	10	11	6	2	14	20	15	1	19	20	0	0	11	6	2	0	0	5	19	9	10	20	1	1	4	20	5	15	22	6	5	1	4	0	18	17	1	24	0	22	1	2	1	0	79	30	71	4	4	3	6	5	3	22	5	17	1	11	1	14	1	7	6	2	2	0	12	17	3	1	14	5	19	17	0	0	2	8	3	0	7	0	0	11	6	4	0	3	1	12	0	3	1	4	1	1	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1	12282
574_LH	36107	512	10	499	48	1621	32	245	33	60	776	284	62	111	2810	9	16	567	122	75	2874	2	0	175	13	114	13	150	15	11	76	45	255	68	2	37	8	1143	28	10	10	102	41	18	26	4	321	147	149	248	167	262	56	24	32	6	24	233	12	10	10	555	103	73	22	99	68	6	16	2	17	42	9	114	34	62	87	54	1	40	66	0	138	5	3	68	94	31	51	67	174	0	16	8	45	18	7	32	9	25	20	13	8	28	378	16	24	77	1	73	21	36	3	15	27	8	0	49	84	12	146	25	49	16	165	2	2	0	11	11	52	137	16	12	68	12	2	15	19	1	13	0	1	6	38	47	0	10	9	1	0	129	0	37	7	0	8	7	6	4	9	7	6	10	1	23	22	31	39	9	14	8	32	0	1	18	25	17	9	3	21	41	0	5	46	2	0	16	1	1	12	14	1	3	1	10	18	4	8	120	2	7	25	19	1	13	6	22	0	5	11	7	4	20	13	0	0	24	9	3	138	0	15	8	1	8	29	0	2	1	29	16	4	20	8	1	3	1	0	30	32	1	26	0	17	3	9	0	3	14	14	29	4	10	72	12	0	9	0	26	2	2	1	0	1	1	9	1	2	0	0	7	48	0	0	39	3	23	0	13	0	2	15	4	0	6	0	0	20	2	1	0	3	19	7	3	1	2	0	5	0	18	0	0	2	0	0	0	11	1	2	0	0	19	1	0	0	15346
593_HL	13128	64	0	380	38	368	3	72	11	17	102	68	104	35	1499	3	8	86	12	7	187	1	7	38	7	40	4	79	4	11	30	66	17	17	103	16	13	34	29	1	4	33	3	0	5	3	28	56	103	103	47	71	44	6	3	34	8	41	24	0	5	305	35	16	0	42	7	3	6	0	5	7	21	38	17	13	35	48	0	24	1	0	42	4	0	4	34	50	9	16	55	0	1	3	30	1	61	14	1	0	7	8	77	17	211	4	12	16	6	26	0	15	21	6	20	10	32	5	80	7	11	6	0	0	24	2	0	1	2	17	88	72	3	3	1	11	10	6	6	0	10	4	12	9	11	24	1	3	4	4	14	78	11	0	2	1	8	10	5	1	12	6	3	10	0	1	24	8	11	16	14	9	19	0	2	11	21	2	8	0	25	9	6	9	10	10	6	2	3	6	11	0	1	14	0	3	8	15	23	26	1	26	6	1	0	6	7	14	1	16	9	24	4	15	3	5	0	8	6	6	4	0	5	7	0	2	13	8	3	2	4	10	3	1	6	2	1	1	3	6	2	1	7	1	16	6	5	0	4	2	3	8	5	3	7	5	4	1	0	8	2	0	0	5	13	2	5	7	0	2	1	4	3	0	4	10	4	3	0	5	0	1	3	8	0	0	0	5	3	2	1	7	14	1	11	0	5	1	2	2	4	0	16	0	0	0	32	1	9	3	0	0	0	0	1	1	0	6029
509_LH	19390	201	7	77	47	326	3	332	62	23	920	306	584	14	1077	5	0	412	45	6	44	2	1	135	30	269	6	184	34	5	153	179	3	57	121	11	4	549	59	11	17	29	38	1	125	20	120	181	79	44	146	113	16	24	18	3	3	9	19	6	4	37	68	10	98	64	115	2	24	0	35	4	18	103	22	22	68	44	3	17	4	1	151	4	0	12	48	8	22	23	167	30	13	0	31	9	11	11	18	13	12	294	5	12	57	4	15	46	30	20	22	69	5	28	18	2	0	21	43	10	7	18	0	1	97	0	25	0	1	4	35	126	17	5	0	11	2	4	10	0	5	0	12	3	8	46	2	5	0	12	1	48	2	0	5	6	8	3	3	1	2	3	1	4	1	1	38	4	7	5	3	14	44	0	13	5	16	7	0	6	27	19	1	15	4	0	1	3	7	1	0	0	2	7	0	1	7	7	9	109	5	3	10	1	0	9	4	2	0	1	16	18	1	15	7	78	10	8	7	5	0	0	17	32	3	2	8	33	6	7	13	7	0	20	4	10	3	3	10	2	30	0	2	8	13	2	8	1	8	14	17	26	11	1	2	8	3	2	0	1	11	0	1	2	0	4	5	2	1	1	2	4	3	3	7	1	7	4	0	5	0	0	3	8	0	7	7	4	7	7	26	8	0	0	1	10	3	6	5	2	2	2	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	8388
598_LL	19164	139	8	462	23	904	2	145	34	18	235	108	167	30	1612	5	5	300	60	8	1402	0	11	117	87	34	2	37	0	2	58	146	103	10	82	28	16	68	14	1	0	49	38	8	153	1	81	191	115	75	44	77	39	10	6	126	2	120	12	1	7	80	66	34	7	100	34	2	13	0	10	58	18	100	24	6	51	38	1	9	24	3	49	3	13	44	63	0	21	53	171	0	0	5	21	0	13	3	87	7	7	9	5	16	166	10	6	70	0	25	10	35	1	12	12	10	0	14	11	3	68	24	11	0	55	0	0	1	15	9	74	129	13	6	1	5	4	8	5	0	5	1	57	1	15	35	1	10	2	3	6	95	9	16	7	0	6	5	5	3	1	1	2	5	0	0	19	0	9	6	9	13	35	0	1	45	12	0	3	2	19	10	0	19	14	9	19	8	5	1	0	5	23	15	0	6	5	9	4	14	4	0	7	0	0	5	6	0	1	2	17	8	5	13	5	0	0	12	0	2	1	0	25	1	31	3	7	3	3	2	6	21	0	4	6	2	4	2	0	41	0	3	16	7	11	0	9	2	4	6	17	2	1	7	25	5	5	2	2	0	0	2	0	2	2	0	0	14	1	0	1	5	14	1	0	31	0	8	1	12	0	2	7	3	45	13	1	0	7	1	10	0	6	8	6	0	0	0	0	0	5	12	0	0	0	0	0	1	5	2	2	0	0	6	5	2	0	8199
885_HL	26340	695	2	288	49	2147	26	33	42	67	451	69	128	17	4304	3	2	90	35	6	327	2	5	19	34	15	6	180	16	4	256	41	153	12	29	9	6	741	51	23	2	88	13	13	196	3	179	33	80	40	9	36	31	11	63	2	31	23	21	6	13	647	26	10	0	23	10	5	20	0	51	12	13	26	10	13	56	43	5	123	3	1	118	0	17	61	13	3	32	7	55	3	30	11	22	31	0	72	20	0	18	8	79	12	302	16	30	69	4	71	0	11	6	16	15	4	0	8	123	1	23	11	12	5	43	18	11	3	4	17	23	53	1	2	4	10	3	11	3	1	5	0	1	13	16	11	1	13	9	8	1	37	0	2	13	7	7	7	3	2	5	1	2	16	1	4	19	12	36	12	9	17	47	0	4	2	33	23	4	5	2	7	69	7	16	0	3	16	2	0	18	6	1	2	3	27	33	6	20	29	6	9	10	0	0	1	8	20	0	0	5	0	6	19	9	0	0	33	4	3	0	0	3	21	2	8	35	5	4	4	15	9	2	9	4	7	0	1	0	18	18	0	4	0	21	3	2	2	1	0	0	6	11	2	10	6	0	8	0	23	5	4	2	5	0	1	5	10	3	0	2	5	10	33	6	0	2	10	0	15	0	5	1	1	0	0	0	0	17	6	1	2	5	1	13	0	1	5	1	3	2	6	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	11153
519_HH	18973	461	10	104	23	50	4	321	58	33	421	270	382	11	763	2	22	561	42	0	15	2	1	176	4	136	6	82	23	14	13	8	3	39	152	46	14	410	65	14	17	145	134	1	136	27	164	377	159	174	134	110	33	2	50	5	13	3	11	11	3	25	146	4	1	184	45	9	15	0	5	5	30	113	54	80	33	23	9	30	4	1	67	7	0	14	84	2	10	55	231	100	17	1	36	1	16	1	2	51	11	5	119	13	149	3	17	2	21	25	28	28	10	74	24	9	1	49	44	49	0	10	0	49	115	5	55	5	6	6	92	145	1	5	0	9	8	9	13	1	13	0	8	4	10	44	3	3	2	13	5	34	0	0	1	2	6	11	3	59	9	6	0	4	0	39	17	1	11	10	5	12	111	0	52	2	18	3	14	23	48	7	0	10	0	32	1	16	4	1	1	4	2	6	4	3	4	5	10	40	7	4	2	3	1	3	2	3	0	0	19	44	0	17	0	124	39	7	5	0	0	0	56	15	2	1	5	13	2	3	14	38	10	11	5	10	4	2	1	13	18	5	4	5	11	5	4	6	0	3	0	13	6	6	0	3	24	3	0	3	0	11	6	1	0	1	3	1	1	0	0	3	2	0	5	0	20	7	0	0	0	6	25	2	0	0	34	2	1	4	2	5	1	0	0	1	5	1	2	0	3	3	0	0	0	0	0	0	0	3	1	0	1	0	1	0	0	8253
513_LL	28087	313	0	179	39	927	27	23	7	5	302	53	1105	17	1957	1	0	73	29	109	3713	3	0	9	19	5	10	982	9	8	48	28	11	3	6	20	11	343	267	18	0	1133	5	11	291	3	270	52	134	14	27	7	43	1	3	3	26	336	20	14	7	69	37	12	0	50	4	3	29	6	6	2	13	6	15	9	38	30	26	40	2	1	53	1	0	99	7	1	50	5	16	0	19	2	18	7	11	24	6	20	19	7	1	13	103	7	21	26	36	74	2	9	17	13	20	4	13	3	58	3	188	4	22	1	35	4	2	1	1	21	17	7	0	0	2	4	4	12	5	1	6	0	5	13	33	10	0	9	4	34	0	54	1	43	5	6	7	25	10	1	1	13	3	8	1	0	14	43	30	15	13	13	5	0	3	1	27	7	1	3	13	2	2	5	39	1	0	2	1	2	4	12	0	4	18	10	10	37	5	5	9	8	115	0	131	5	12	2	1	0	2	1	2	14	4	1	0	13	5	2	3	0	4	7	2	9	18	2	4	8	22	7	3	16	5	8	2	2	0	7	8	0	17	1	20	1	2	3	8	3	0	3	2	0	51	8	0	10	2	3	0	2	0	0	0	4	10	2	4	22	2	4	32	1	0	0	2	19	0	7	0	70	2	0	0	2	1	3	7	2	0	0	4	36	7	0	4	34	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	11968
056_LH	15169	208	2	31	41	889	9	28	34	117	822	43	732	10	976	1	8	104	70	4	145	2	4	15	3	15	5	381	38	7	237	15	5	6	8	13	8	208	99	26	0	125	10	1	6	6	136	27	96	9	36	8	29	1	27	17	3	11	7	4	4	360	46	5	1	52	4	4	30	0	52	5	13	13	21	40	29	25	6	20	2	32	165	1	0	27	14	1	21	7	18	6	5	3	19	5	0	45	5	0	10	172	13	11	131	6	14	44	27	17	3	6	0	24	21	8	23	2	40	1	15	3	3	2	16	0	0	0	1	9	11	12	4	2	3	5	7	5	4	6	6	0	6	1	10	2	2	5	0	16	1	10	4	3	2	2	3	0	6	8	8	4	3	3	1	1	15	0	11	2	33	17	9	0	5	17	10	1	0	1	19	5	1	21	3	14	4	23	1	16	5	2	2	1	1	2	6	15	4	7	0	3	0	25	0	5	3	14	1	0	5	26	3	10	0	0	0	6	3	1	1	0	5	27	13	7	3	12	1	5	7	1	0	12	3	9	7	4	6	8	8	0	4	5	11	5	1	0	3	0	1	1	4	0	6	4	0	1	0	16	6	3	2	15	3	2	12	1	1	0	0	1	4	9	20	9	1	8	0	7	0	4	4	1	0	0	1	4	2	4	5	9	3	2	1	1	2	19	4	1	4	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	6588
38_LH	21598	318	3	908	54	848	6	55	58	5	729	205	300	26	1170	9	3	35	48	37	798	2	17	70	78	53	9	110	26	11	237	63	9	17	39	16	6	312	88	30	10	343	11	2	25	1	152	111	120	26	161	104	22	9	23	62	18	73	29	5	6	219	76	31	8	75	16	5	21	18	44	55	18	45	19	37	85	66	15	68	1	12	99	0	21	33	33	0	32	13	67	19	11	6	30	26	5	32	78	0	18	167	6	13	85	4	24	64	12	54	3	23	17	12	24	7	6	13	44	4	45	12	7	7	41	3	21	1	3	16	58	108	22	2	3	5	7	18	10	1	9	0	6	9	16	25	0	7	10	5	0	63	2	13	10	10	3	20	7	4	6	11	60	7	1	9	33	0	27	10	18	9	52	1	12	1	13	4	1	8	7	17	0	8	10	8	20	0	1	29	4	10	0	3	0	8	4	6	5	4	1	25	3	8	1	15	4	8	4	46	14	2	3	9	10	0	0	3	7	7	18	0	6	20	26	8	8	2	4	10	10	56	2	9	5	5	3	4	0	14	8	0	6	1	15	30	4	0	1	5	12	24	6	5	6	16	7	12	0	10	9	1	1	14	1	2	7	10	2	17	0	6	18	1	0	3	7	8	0	7	0	3	5	2	0	1	15	0	15	9	2	0	5	8	8	0	2	1	0	1	1	9	0	0	0	0	0	2	0	0	9	0	0	0	3	0	0	9639
4_LL	3753	21	0	22	34	56	4	16	5	2	34	10	18	5	56	1	0	23	4	0	19	4	2	4	1	3	5	17	1	6	14	7	4	3	6	0	10	20	5	0	0	16	3	0	3	1	8	3	68	6	6	5	26	0	1	3	7	4	27	0	0	15	1	1	2	3	0	6	11	0	3	1	12	6	2	3	14	30	0	34	1	0	6	4	0	0	5	2	23	4	5	1	0	0	12	3	0	3	0	0	6	1	3	12	5	0	10	0	0	19	3	0	0	2	18	11	0	0	5	0	0	1	0	0	7	1	1	0	0	12	2	5	0	0	0	4	6	5	1	0	22	0	4	8	1	1	4	0	7	0	0	31	0	0	4	4	4	1	5	0	0	5	0	1	1	0	21	0	8	15	5	5	1	0	1	0	10	3	0	0	20	0	0	16	0	2	1	1	8	2	0	6	1	2	0	0	1	14	5	2	0	2	0	0	0	16	8	0	4	0	0	28	0	9	0	0	0	1	6	7	1	8	1	8	2	4	2	10	7	5	4	1	1	3	10	0	6	4	2	9	3	4	2	2	14	2	4	4	6	0	0	0	7	0	5	9	1	8	0	0	0	5	0	0	0	5	5	1	4	15	4	4	2	0	5	0	1	6	0	1	0	1	1	7	0	0	0	4	0	5	2	9	3	1	1	0	4	1	3	5	6	0	0	0	0	4	0	4	0	4	1	0	0	0	4	4	0	2146
