rab.all	rab.win.Healthy	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	0.882756460267312	0.744557779914659	1.12511778891606	0.32131574505047	1.12857519540566	-3.15481284582371	1.79036484671851	0.171007329561179	3.98477556996661	0.219682973125841	-5.41378222050848	4.56926270782009	0.391200000380692	0.885051673348663	0.981210525409926	0.257360952075259	0.781890961278553
Alcaligenaceae	-3.34549255618034	-3.73955428142174	-2.7134739141014	0.827267939457199	2.52801639424563	-5.55938778039081	5.1133447427464	0.313164327836345	7.44765102504214	0.288789499754504	-4.40015271465342	5.59559057257043	0.337132574092391	0.387838984416149	0.981142822682591	0.091467266630955	0.736286524954515
Bacteroidaceae	2.92732044550207	2.98554041890598	2.85388898741284	-0.0620302709407059	0.822691192297472	-1.64611584069184	1.69707314043555	0.123562732544375	1.96154313975685	-0.0681451815134398	-4.06673064818313	4.08482920465335	0.466200000113184	0.938066789992904	0.981734843336261	0.700690088030818	0.966133833042822
Bifidobacteriaceae	0.674111741478243	0.681025845431786	0.663085742363138	-0.0893461127054951	1.40523283876587	-2.56539359434739	3.14150762843255	0.214618408761262	3.73499868462689	-0.0571057581942744	-3.80915256861924	4.37788158189577	0.471000000096993	0.916040537527651	0.981359902358764	0.799499918257105	0.967881730981927
Christensenellaceae	-1.45947159311069	-1.64563563938552	-1.20371518240913	0.392316414252637	1.92088587230951	-4.36912818699899	2.89241914206639	0.235995630905541	5.67355203679942	0.157630844982691	-6.16601771875479	4.49757139584119	0.413800000296135	0.640811032084532	0.981176587386174	0.397799086688072	0.864312803365708
Clostridiaceae_1	-1.71188866975503	-2.02742910713729	-1.49656902643965	0.162829353442093	2.41545132392594	-4.62254451263514	4.41011766942239	0.316893643674742	5.64936823442957	0.0687644887226803	-4.02268038671586	3.85694351766715	0.472800000090936	0.914782535280477	0.981358051406673	0.752449123367556	0.967650325386788
Coriobacteriaceae	0.25983385215472	0.118173625020999	0.294079068797365	0.0511282512347542	1.26957807527145	-3.02279274195205	2.05209310486949	0.165312305015641	3.77702239948656	0.0365085520518604	-5.50522809724007	3.92957032822693	0.478704259219257	0.539781679911136	0.981176587386174	0.868449121431472	0.970742274075655
Desulfovibrionaceae	-4.66510290121789	-5.0330640166667	-3.80691234938154	1.10141172545281	3.39867422626609	-5.46521666329736	6.60412820563071	0.602798741244697	7.63733612880054	0.310567473354099	-2.5447203090966	4.46166221359017	0.369400000467209	0.196939590232872	0.98007164499368	0.172603781227168	0.762257126257327
Enterobacteriaceae	-0.350588784889733	-0.368217040675168	-0.333211183481925	0.00540645852736565	1.31763838888432	-2.45795579913296	2.39248819343068	0.188884736784767	3.27214106467154	0.00430298447253712	-3.91233482294647	4.09214479126978	0.497900419923013	0.938283041313902	0.981587323969768	0.923927568502557	0.974431594567433
Erysipelotrichaceae	1.85913291281767	1.98464502781575	1.77895734331428	-0.170336678152376	1.01540914697805	-1.8077760734152	2.0743628938578	0.133649581014914	2.78058279636527	-0.159375940473681	-4.10035282415917	4.2852863754408	0.419600000275114	0.70244018440038	0.981176587386174	0.399632030690837	0.867386692442735
Family_XIII	-3.26749428367324	-3.28929856161618	-3.25498295330328	0.00101398800299046	1.41112948859734	-3.27829160311767	2.38019656814866	0.229144008737055	4.31743682329902	0.000419485829989193	-4.18356482790522	3.45096812608684	0.499900019996334	0.808169023546783	0.981240117311789	0.848718130585939	0.968850891516852
Lachnospiraceae	5.7374861615304	5.8849136680424	5.59232816882432	-0.0141331374820179	0.880823146621964	-1.24061640580258	1.83123931523149	0.113814899979267	1.82932150767576	-0.0159392497744369	-3.79114225872958	5.13563549896839	0.494301139791037	0.679683065963009	0.981176587386174	0.925379742965369	0.973868882498582
Lactobacillaceae	-0.802236732572098	-0.85805033364488	-0.785458823232605	0.0121728266778272	1.76744659435229	-2.89843919897533	3.078956415615	0.209125257972843	3.86576914933758	0.0065502076232506	-4.16309522137975	4.20488350423599	0.496500699871688	0.943110047759218	0.981729413855117	0.92603326046637	0.973768990852512
Methanobacteriaceae	-0.734587900298765	-0.699725962167908	-0.773591217893768	-0.0822258170354733	1.47903065419376	-2.8142775813943	2.6359371902735	0.234521978411873	3.87866352909911	-0.0517289465454116	-3.85551623229397	3.56851640815987	0.475000000083542	0.829292567926212	0.981225446145833	0.746692503225298	0.967293294311035
Pasteurellaceae	-3.39478179255903	-3.38085987009636	-3.42262804096367	0.178384975501714	2.02476985996001	-5.18821694207841	3.33159960113892	0.298874988198425	6.30662383671317	0.072615837101951	-4.89300615838492	3.42052273329602	0.46360000012198	0.726743894121212	0.981176587386174	0.713496254685463	0.962237190103935
Peptostreptococcaceae	0.865871971402784	0.922161098474108	0.797900495804505	-0.0378063281056527	1.20680574715454	-2.05555278589033	2.37133465993082	0.153144510334347	2.7031862793958	-0.0293798948536835	-4.19285375273163	4.85586472997779	0.48260000005807	0.859436920875063	0.981178053260271	0.847264555859312	0.969189545016769
Porphyromonadaceae	-1.39842848857076	-1.62758979256346	-0.943182316570003	0.540504165116757	1.80595868587948	-4.61478870383879	3.50882423305956	0.269830477943219	5.93960030100062	0.236239425150053	-4.88637692930711	4.68925102894415	0.376924615513522	0.7622136948762	0.981176587386174	0.22110803674324	0.771889908716208
