rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	0.749793422292682	0.743247924362366	0.753953234126206	-0.0994837991615678	1.22729129637114	-3.68178330558497	1.61212534282815	0.201862702979699	3.97631627614652	-0.064662777229476	-5.77553073540014	2.70367115120285	0.463507298662537	0.174876673087199	0.861958786660086	0.669877362572222	0.768922871457938
Alcaligenaceae	-3.27089127139881	-3.7317237104142	-3.00700959291162	0.710844813461872	2.73727691269083	-5.68794679223935	6.63632896607177	0.344833639833973	7.63145518314421	0.227463757259987	-4.12958903432028	6.18019768783753	0.36220000049709	0.204294453569565	0.861958786660086	0.0587709221314521	0.603334467151595
Bacteroidaceae	2.89595357374847	2.9858644397215	2.84402760049591	-0.137513662510572	0.896419781706324	-1.79358316185925	1.60009229971074	0.157140216810862	2.11962031701908	-0.135226837242349	-3.97457284066164	3.25877808552386	0.438312337741214	0.511083565759512	0.862709961511176	0.411551147288607	0.723839716271748
Bifidobacteriaceae	0.426679111968473	0.682599193303989	0.356448469896471	-0.277466098647604	1.54086941572396	-3.01171179283336	2.84465582600564	0.254920116567381	3.8899364560554	-0.164433500371275	-4.35519923507961	3.53595579819944	0.42600000025219	0.501314875416253	0.862797209363926	0.309169553849206	0.709109212349296
Christensenellaceae	-1.42251087099986	-1.64431380682091	-1.31945340116388	0.311225397015457	2.0321302403855	-4.49128873480826	3.47473014345615	0.286216120232775	5.68568485428601	0.126135713048361	-5.43848662474274	4.17265376397825	0.433000000227417	0.759468004191211	0.870066866489274	0.350173836353452	0.71447892229456
Clostridiaceae_1	-1.52914997643938	-2.02417703302826	-1.32173822411004	0.243141654278805	2.71316224326161	-5.07694009869742	4.60093488742307	0.390497311412613	5.75336221183281	0.0883919438926808	-3.98608835401364	3.78999050195148	0.463200000123335	0.769504341309826	0.870192520191302	0.593730079017036	0.751252454492683
Coriobacteriaceae	0.359286151270306	0.116382708620333	0.403529241156333	0.0852102540427646	1.48548425678542	-3.18242920119056	2.50784728522012	0.234903322226557	3.80612712089336	0.049522514108303	-4.21525355656436	3.59536827996891	0.475704859109337	0.83264560205788	0.875753034224382	0.652144441026748	0.763633188160582
Desulfovibrionaceae	-4.48314920706272	-5.0406436373536	-4.17162803662215	0.676632182090422	3.5917802204702	-6.4186395132165	6.92135320235054	0.668787486798037	8.80137542632798	0.170380430501059	-3.18662613476982	4.06405949741123	0.424515097237986	0.415352434555065	0.862101683624532	0.3047981524244	0.707068216863938
Enterobacteriaceae	-0.438887396346102	-0.36948384342227	-0.459314581653873	-0.153652418857493	1.31532095514593	-2.68564409668705	2.31362334259006	0.198286356833464	3.34522708563784	-0.11455308479246	-4.05825704881716	3.62151305057472	0.442600000193889	0.481991772978286	0.862447066848205	0.444052426909742	0.726857758020274
Erysipelotrichaceae	1.87295901669854	1.9879137780717	1.83908148248738	-0.078524698418327	1.04390852185302	-1.68675705791102	2.34437656741603	0.163190711360947	2.81781842112884	-0.0651514657949182	-3.21956080278841	4.30078294245658	0.467906418823635	0.836454014493298	0.880133474231029	0.647619980120212	0.761578415905827
Family_XIII	-3.21791062428004	-3.29400827127188	-3.19265904577455	0.147175355294485	1.59865273077123	-3.33520262062314	3.99820591827779	0.258269087819933	4.85034394462556	0.0794824507701367	-3.56141798887966	4.81490400410591	0.45720000014372	0.449377879025675	0.862336684236633	0.587480700863174	0.756243265064566
Lachnospiraceae	5.69463914071347	5.88468206278897	5.65097746616155	-0.0981653255837127	0.812923691383066	-1.35893023483439	1.64904515750269	0.126883403100729	1.90852770535719	-0.106796643689178	-3.77895596510613	4.1090992400208	0.451109778208866	0.811220034612368	0.873258552124047	0.493595101921751	0.73537909063737
Lactobacillaceae	-0.824379825280147	-0.872906572542468	-0.819487093876045	-0.047317893724967	1.7929761611458	-3.43107094435674	2.95188075753774	0.273081864920698	3.92462034135809	-0.0258657358991898	-3.80490311092466	3.2362003115334	0.488102379563761	0.685085320808244	0.867330967064727	0.876844003098674	0.884994120788548
Methanobacteriaceae	-0.829878198461748	-0.704704980238366	-0.88674265328016	-0.0511889096508216	1.71920749824606	-2.89467091108296	4.59588800488744	0.273428583828927	6.12192300038484	-0.0257199469054013	-3.69967442197014	4.46909909339128	0.486200000046035	0.733419939167365	0.869108535588219	0.809849853843	0.839735145440139
Pasteurellaceae	-3.37785959179993	-3.38273928145866	-3.3751447896666	0.209376662322357	2.00171858544834	-5.12711104276462	3.34111862426371	0.331761004622087	6.16386979098458	0.0838624988836811	-4.38512913433672	3.5483306920624	0.460507898552729	0.850168373455926	0.893128304931002	0.571906425823027	0.749069689824146
Peptostreptococcaceae	0.865464363554355	0.923111898783892	0.842044239401962	-0.139143618711758	1.15081650783997	-2.25404248037888	2.23033996700718	0.178784445374145	2.81465242100031	-0.105571077733007	-4.09013009908646	4.08955184968635	0.449000000171787	0.602271839431312	0.864848249892303	0.470372828274188	0.731024722706768
Porphyromonadaceae	-1.04849460051384	-1.62383484707237	-0.944772390537257	0.512344726043239	1.94577156153784	-4.58724507089305	3.87208675224934	0.255326225811836	5.96664471448208	0.211376360922311	-4.74131696773442	4.81214090011288	0.389722055975116	0.651747239826825	0.867380989360744	0.107809232757918	0.690310321285493
