td_A_700038857	td_A_700023382	td_A_700099065	td_A_700113553	td_A_700095837	td_A_700102525	td_A_700038905	td_A_700107822	td_A_700032228	td_A_700103608	td_B_700033928	td_B_700113016	td_B_700035243	td_B_700100477	td_B_700038113	td_B_700024958	td_B_700097487	td_B_700016462	td_B_700109512	td_B_700099008
OTU_97.18976	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.18977	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.18979	1	0	3	0	1	0	2	0	0	10	0	3	0	0	0	1	0	0	2	0
OTU_97.18982	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.18987	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	8	0
OTU_97.18989	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_97.19003	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1901	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU_97.19010	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
OTU_97.19027	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0
OTU_97.19047	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19051	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_97.1906	1	5	0	0	0	0	0	0	0	20	2	3	0	0	0	8	0	8	1	0
OTU_97.19069	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
OTU_97.1907	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.19086	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.19092	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19097	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19098	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.191	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19101	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_97.19102	0	0	0	0	0	0	0	0	0	0	0	4	0	0	20	0	0	0	0	0
OTU_97.1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.19126	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19130	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19132	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.19145	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	5	3	0
OTU_97.19157	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0
OTU_97.1917	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_97.19187	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19201	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19205	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19217	0	0	0	0	0	44	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19241	5	0	0	0	2	3	3	0	0	13	0	0	0	0	0	1	0	1	20	1
OTU_97.19244	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19250	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19263	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19265	0	0	0	2	1	4	0	0	2	0	1	1	0	0	1	0	0	0	0	0
OTU_97.1927	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
OTU_97.19274	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_97.19287	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19298	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1931	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.19320	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19329	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19333	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.19335	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.19366	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_97.19369	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19371	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
OTU_97.19373	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19389	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19424	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_97.1943	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_97.19437	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19438	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_97.19439	0	0	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0
OTU_97.19457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19491	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19496	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19497	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19505	2	0	0	2	1	0	1	0	0	4	1	1	0	0	0	1	0	1	0	0
OTU_97.19528	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19535	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19538	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19542	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
OTU_97.1955	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.19552	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0
OTU_97.19562	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19565	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
OTU_97.1957	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	5	0	0
OTU_97.19574	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19578	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19586	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU_97.19594	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19605	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19613	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19622	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0
OTU_97.19628	5	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19638	0	0	0	0	1	5	0	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU_97.19646	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19656	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19657	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19669	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
OTU_97.19680	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	6
OTU_97.19681	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19686	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19690	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19704	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0
OTU_97.19731	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0
OTU_97.19733	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19736	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU_97.19738	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19749	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19758	0	0	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	0
OTU_97.19768	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1
OTU_97.19778	29	0	0	2	8	98	9	0	1	112	0	8	0	3	0	23	0	1	11	1
OTU_97.19788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.19793	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19801	2	0	0	0	0	1	0	0	0	0	0	10	0	0	0	1	0	0	0	4
OTU_97.19805	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19808	0	0	0	0	2	0	2	0	0	0	1	2	7	0	1	0	0	0	1	0
OTU_97.19813	2	0	0	3	2	6	6	0	0	1	12	3	0	4	0	1	0	1	3	0
OTU_97.1982	18	0	0	0	12	12	5	0	0	13	0	4	2	0	2	4	1	0	3	0
OTU_97.19824	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0
OTU_97.19831	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.19833	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19837	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.1984	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU_97.19847	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
OTU_97.19854	0	0	0	0	2	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0
OTU_97.19855	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU_97.19857	0	0	0	0	1	0	1	0	0	0	0	2	3	0	0	2	0	0	1	1
OTU_97.1986	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
OTU_97.19867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.19879	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.19891	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19894	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.199	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0
OTU_97.19902	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19914	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19918	0	43	0	0	0	0	0	0	0	33	0	0	0	2	0	17	0	7	1	0
OTU_97.1992	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	1
OTU_97.19929	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19939	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.19940	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19944	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19949	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.19955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_97.19956	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.19959	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.19971	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19978	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
OTU_97.19982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.19991	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.19995	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
OTU_97.20	90	111	9	84	12	77	24	0	191	84	126	24	4	12	83	58	9	108	85	63
OTU_97.200	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU_97.20028	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
OTU_97.20031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_97.20037	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.20045	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.20059	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_97.20061	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.2007	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20071	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_97.20073	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_97.20075	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.2008	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20084	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20121	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.20128	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20140	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20149	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.2016	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20167	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20173	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20175	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20176	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_97.20191	2	0	0	0	0	2	0	0	0	5	1	1	0	0	0	0	0	0	0	0
OTU_97.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.20200	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU_97.20203	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
OTU_97.20207	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.20226	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.20249	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.20253	25	23	0	0	1	8	5	0	0	165	0	16	0	10	0	31	2	2	11	1
OTU_97.20264	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.20271	1	13	0	0	2	0	0	0	0	29	0	2	0	0	0	31	0	11	1	0
OTU_97.20273	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0
OTU_97.20277	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0
OTU_97.20288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.20315	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_97.20320	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_97.20325	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
OTU_97.20328	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20337	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20341	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20343	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20361	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.20366	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_97.20367	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_97.2037	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_97.20372	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU_97.20383	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20399	0	0	0	0	0	2	0	3	0	1	0	1	1	0	0	0	0	0	0	0
OTU_97.204	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20403	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	1
OTU_97.20404	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20415	0	0	0	1	1	6	24	0	0	0	0	1	0	0	0	0	0	0	18	4
OTU_97.20425	0	1	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	1	0
OTU_97.20452	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU_97.20458	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20468	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20471	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.2049	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.20492	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20502	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU_97.20503	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_97.20520	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.20526	0	0	0	2	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0
OTU_97.20527	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
OTU_97.20536	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
OTU_97.20543	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.20549	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20550	0	0	0	4	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU_97.20559	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20565	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.20566	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.2057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.20576	0	0	0	1	0	5	0	0	0	6	0	0	0	0	0	1	0	0	0	0
OTU_97.20579	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.20584	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.206	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20621	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU_97.20623	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20625	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20647	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_97.20655	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20660	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU_97.20668	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
OTU_97.2067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.20671	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20677	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20678	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20684	2	0	1	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20706	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_97.20709	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0
OTU_97.20716	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_97.20722	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.20730	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20733	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
OTU_97.2074	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OTU_97.20744	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.20752	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20760	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20771	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.20775	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.20780	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20784	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.20793	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20798	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.20802	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20803	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU_97.2083	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
OTU_97.20830	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
OTU_97.20838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_97.20843	0	0	0	1	0	2	0	1	0	1	0	4	0	0	0	0	0	0	0	0
OTU_97.20847	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20848	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.2088	3	3	1	0	0	0	1	0	0	35	0	0	0	0	0	3	0	0	0	0
OTU_97.20882	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
OTU_97.20896	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
OTU_97.209	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_97.20908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.20911	0	2	0	0	0	0	0	0	1	5	0	2	0	0	0	2	0	0	0	0
OTU_97.2092	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
OTU_97.20928	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
OTU_97.2093	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.20931	0	0	0	13	6	1	1	0	0	0	0	18	2	0	3	0	0	0	30	0
OTU_97.20943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.20949	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.20952	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.20966	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.20987	0	1	0	2	0	1	0	2	3	0	0	0	0	0	1	0	0	1	0	0
OTU_97.20989	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
OTU_97.20993	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU_97.2100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.21020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.21021	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.21030	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
